name,available,cluster,wage,skill,lb,ub
K1,10,C9,0,"S2,S7,S6,S9,S8",2,3
K2,10,C2,0,"S8,S9,S5,S2,S10",1,4
K3,10,C3,0,"S8,S4,S6,S1,S2",2,5
K4,10,C4,1078,"S1,S2,S9,S8,S3",2,4
K5,10,C6,1076,"S2,S9,S1,S8,S10",4,5
K6,10,C1,0,"S3,S1,S2,S7,S4",1,4
K7,10,C9,0,"S3,S6,S10,S9,S7",3,5
K8,10,C7,1093,"S2,S10,S8,S6,S7",1,3
K9,10,C4,0,"S1,S6,S7,S8,S4",1,3
K10,10,C5,975,"S3,S10,S9,S2,S1",3,5
K11,10,C10,974,"S5,S8,S2,S4,S7",3,4
K12,10,C8,0,"S6,S10,S3,S7,S2",2,5
K13,10,C7,0,"S7,S4,S3,S2,S5",1,4
K14,10,C6,0,"S10,S7,S2,S5,S8",3,5
K15,10,C10,0,"S8,S3,S9,S6,S4",3,5
K16,10,C5,1062,"S7,S8,S10,S4,S6",2,5
K17,10,C1,1020,"S8,S2,S3,S9,S1",1,5
K18,10,C7,1009,"S6,S10,S9,S5,S2",2,3
K19,10,C10,0,"S1,S7,S8,S3,S9",1,5
K20,10,C1,0,"S7,S3,S5,S2,S8",1,5
