id,client,cluster,skill,demand,consultant,priority
1,1,ABQ,B,3,,5
2,2,ABQ,BD,2,,4
3,3,ABQ,D,2,,1
4,4,ABQ,D,3,,4
5,5,ABQ,E6,5,,5
6,6,ABQ,F,4,,3
7,7,ABQ,JIS,1,,2
8,8,ATL,B,5,,5
9,9,ATL,BD,2,,5
10,10,ATL,BP,2,,1
11,11,ATL,D,1,,3
12,12,ATL,F,4,,3
13,13,ATL,H,1,,2
14,14,ATL,SB,4,,5
15,15,ATL,SB,3,,1
16,16,ATL,SB,4,,4
17,17,BOS,BP,2,,3
18,18,BOS,D,3,,1
19,19,BOS,E,1,,3
20,20,BOS,F,7,,4
21,21,BOS,H,5,,2
22,22,BOS,SB,4,,4
23,23,BWI,BP,5,,5
24,24,BWI,E,1,,2
25,25,BWI,ESV,2,,3
26,26,BWI,F,9,,2
27,27,BWI,JIS,3,,1
28,28,BWI,R,2,,1
29,29,BWI,R,2,,4
30,30,BWI,R,4,,2
31,31,BWI,SB,5,,4
32,32,BZN,BD,3,,3
33,33,CLT,D,2,,1
34,34,CLT,DIP,2,,3
35,35,CLT,E,4,,1
36,36,CLT,E6,1,,2
37,37,CLT,H,2,,5
38,38,CLT,I,1,,1
39,39,CMH,BD,1,,2
40,40,CMH,BP,2,,4
41,41,CMH,BP,3,,2
42,42,CMH,D,4,,1
43,43,CMH,ESV,2,,5
44,44,CMH,F,4,,1
45,45,CMH,JIS,5,,3
46,46,CMH,O,1,,3
47,47,CMH,R,5,,1
48,48,DFW,B,2,,3
49,49,DFW,ESV,1,,4
50,50,DFW,F,5,,3
51,51,DFW,H,2,,5
52,52,DFW,SB,1,,1
53,53,DFW,SB,2,,1
54,54,DTW,D,2,,4
55,55,DTW,DIP,1,,2
56,56,DTW,ESV,1,,2
57,57,DTW,F,9,,3
58,58,DTW,F,2,,1
59,59,DTW,H,4,,2
60,60,DTW,I,5,,5
61,61,DTW,R,2,,3
62,62,DTW,R,5,,3
63,63,EWN,BP,1,,1
64,64,EWN,D,1,,5
65,65,EWN,DIP,1,,3
66,66,EWN,DS,2,,2
67,67,EWN,DS,2,,2
68,68,EWN,E6,4,,1
69,69,EWN,F,7,,1
70,70,EWN,H,3,,1
71,71,EWN,H,3,,2
72,72,EWN,I,2,,4
73,73,EWN,O,2,,2
74,74,GEG,D,2,,5
75,75,GEG,ESD,5,,1
76,76,IAH,B,6,,4
77,77,IAH,E,4,,5
78,78,IAH,I,2,,5
79,79,IAH,R,4,,1
80,80,IAH,SB,2,,4
81,81,ICT,D,5,,3
82,82,ICT,DIP,3,,3
83,83,ICT,DIP,1,,4
84,84,ICT,E,1,,3
85,85,ICT,ESV,1,,1
86,86,ICT,F,6,,1
87,87,ICT,H,2,,2
88,88,ICT,JIS,1,,3
89,89,LAX,D,2,,4
90,90,LAX,F,8,,2
91,91,LAX,I,8,,4
92,92,LAX,SB,4,,5
93,93,LBB,BD,5,,1
94,94,LBB,BP,2,,3
95,95,LBB,F,1,,2
96,96,LBB,R,1,,2
97,97,MCI,F,4,,4
98,98,MCI,H,1,,1
99,99,MCI,I,4,,2
100,100,MCO,B,5,,1
101,101,MCO,D,6,,3
102,102,MCO,E6,4,,1
103,103,MCO,F,3,,4
104,104,MCO,H,2,,5
105,105,MEM,B,5,,1
106,106,MEM,BD,4,,4
107,107,MEM,D,1,,1
108,108,MEM,DS,2,,3
109,109,MEM,E,5,,5
110,110,MEM,H,1,,1
111,111,MEM,JIS,4,,3
112,112,MSP,DIP,3,,2
113,113,MSP,E6,4,,2
114,114,MSP,F,1,,5
115,115,MSP,O,3,,5
116,116,MSY,BP,2,,3
117,117,MSY,D,3,,3
118,118,MSY,ESV,2,,4
119,119,MSY,F,4,,3
120,120,MSY,SB,1,,1
121,121,MSY,SB,1,,1
122,122,ORD,D,4,,5
123,123,ORD,ESD,4,,2
124,124,ORD,ESV,5,,2
125,125,ORD,I,1,,4
126,126,ORD,R,3,,4
127,127,ORD,SB,1,,1
128,128,PDX,DS,2,,3
129,129,PDX,DS,5,,4
130,130,PDX,E6,3,,5
131,131,PDX,O,5,,4
132,132,PDX,SB,1,,2
133,133,SAT,B,1,,2
134,134,SAT,ESD,2,,1
135,135,SEA,E6,4,,3
136,136,SEA,E6,1,,4
137,137,SEA,ESV,3,,5
138,138,SFO,D,3,,1
139,139,SFO,DIP,2,,4
140,140,SFO,ESV,3,,4
141,141,SFO,F,6,,2
142,142,SFO,H,2,,4
143,143,SFO,I,2,,3
144,144,SLC,ESD,1,,5
145,145,SLC,F,4,,4
146,146,SLC,I,5,,2
147,147,SLC,R,2,,5
148,148,SLC,SB,2,,3
149,149,LAX,SB,2,DK,4
150,150,LAX,E,4,DK,1
151,151,LAX,B,2,Am,3
152,152,LAX,JIS,2,Bo,1
153,153,MCI,B,2,ED,3
154,154,MEM,SB,1,GS,5
155,155,MSP,B,2,BC,5
156,156,MSP,E,1,JL,5
157,157,MSP,I,2,JL,5
158,158,MSY,SB,1,GS,5
159,159,ORD,BD,2,RV,1
160,160,SFO,E,4,Am,3
161,161,SFO,SB,2,MG,2
162,162,SFO,BD,2,MG,2
163,163,SLC,IF,1,DK,1
