id,cluster,client,skill,demand,consultant,priority
1,C28,V1,S26,4,,5
2,C24,V2,S19,5,,1
3,C29,V3,S21,5,,4
4,C20,V4,S3,3,,4
5,C1,V5,S18,2,,5
6,C26,V6,S25,2,,4
7,C14,V7,S22,3,,3
8,C24,V8,S20,4,,5
9,C29,V9,S18,6,,4
10,C10,V10,S22,4,,4
11,C27,V11,S15,2,,2
12,C28,V12,S8,1,,4
13,C24,V13,S23,1,,3
14,C18,V14,S3,6,,5
15,C16,V15,S13,2,,4
16,C21,V16,S22,4,,3
17,C29,V17,S29,6,,5
18,C12,V18,S19,4,,3
19,C8,V19,S14,4,,5
20,C23,V20,S5,4,,3
21,C26,V21,S6,2,,3
22,C30,V22,S16,2,,5
23,C29,V23,S12,5,,5
24,C3,V24,S3,6,,1
25,C10,V25,S10,1,,2
26,C8,V26,S28,3,,5
27,C5,V27,S23,2,,2
28,C9,V28,S26,6,,1
29,C9,V29,S2,4,,4
30,C19,V30,S7,4,,1
31,C14,V31,S24,6,,3
32,C4,V32,S24,5,,5
33,C30,V33,S3,3,,4
34,C5,V34,S4,1,,1
35,C26,V35,S22,2,,2
36,C29,V36,S24,4,,5
37,C24,V37,S7,6,,4
38,C3,V38,S20,3,,3
39,C30,V39,S19,1,,5
40,C25,V40,S25,4,,1
41,C12,V41,S23,1,,2
42,C17,V42,S9,6,,4
43,C9,V43,S25,1,,3
44,C3,V44,S26,3,,1
45,C6,V45,S13,2,,1
46,C29,V46,S18,4,,3
47,C24,V47,S25,3,,5
48,C14,V48,S26,2,,1
49,C19,V49,S14,6,,1
50,C19,V50,S1,4,,4
51,C9,V51,S22,2,,4
52,C11,V52,S24,4,,5
53,C24,V53,S30,2,,4
54,C2,V54,S27,1,,3
55,C11,V55,S20,4,,3
56,C2,V56,S9,3,,2
57,C29,V57,S25,3,,2
58,C25,V58,S21,1,,3
59,C15,V59,S29,2,,2
60,C11,V60,S27,2,,1
61,C20,V61,S17,6,,5
62,C5,V62,S11,4,,1
63,C17,V63,S20,4,,5
64,C18,V64,S7,2,,5
65,C8,V65,S3,4,,2
66,C24,V66,S27,2,,2
67,C21,V67,S27,3,,1
68,C3,V68,S14,5,,5
69,C30,V69,S29,1,,2
70,C17,V70,S10,3,,5
71,C14,V71,S14,5,,2
72,C29,V72,S15,2,,2
73,C21,V73,S25,3,,2
74,C25,V74,S26,1,,2
75,C1,V75,S20,3,,1
76,C26,V76,S23,2,,5
77,C18,V77,S2,4,,5
78,C19,V78,S10,4,,1
79,C21,V79,S6,5,,5
80,C17,V80,S11,2,,3
81,C4,V81,S18,5,,2
82,C21,V82,S16,5,,5
83,C15,V83,S14,4,,2
84,C18,V84,S20,6,,1
85,C23,V85,S28,3,,5
86,C26,V86,S17,3,,4
87,C16,V87,S19,1,,1
88,C29,V88,S3,6,,1
89,C21,V89,S12,1,,1
90,C13,V90,S14,4,,3
91,C22,V91,S4,1,,4
92,C26,V92,S18,1,,3
93,C25,V93,S24,6,,3
94,C24,V94,S25,2,,1
95,C27,V95,S3,4,,5
96,C9,V96,S18,2,,5
97,C18,V97,S9,3,,4
98,C28,V98,S16,2,,3
99,C1,V99,S20,3,,3
100,C6,V100,S6,3,,1
101,C28,V101,S11,3,,4
102,C26,V102,S28,3,,1
103,C15,V103,S8,1,,4
104,C25,V104,S27,2,,4
105,C16,V105,S5,5,,5
106,C16,V106,S29,4,,3
107,C10,V107,S25,4,,3
108,C28,V108,S30,4,,5
109,C21,V109,S8,2,,4
110,C27,V110,S5,4,,1
111,C20,V111,S12,2,,5
112,C28,V112,S19,5,,4
113,C21,V113,S7,6,,2
114,C29,V114,S20,5,,3
115,C16,V115,S28,4,,1
116,C13,V116,S8,6,,1
117,C4,V117,S8,5,,5
118,C30,V118,S19,5,,2
119,C26,V119,S25,2,,1
120,C29,V120,S9,2,,5
121,C4,V121,S12,6,,3
122,C7,V122,S16,4,,5
123,C27,V123,S24,2,,5
124,C8,V124,S16,5,,3
125,C26,V125,S18,2,,1
126,C27,V126,S1,5,,1
127,C15,V127,S24,2,,1
128,C4,V128,S11,3,,3
129,C2,V129,S24,5,,4
130,C9,V130,S13,4,,2
131,C1,V131,S11,6,,5
132,C15,V132,S3,4,,1
133,C2,V133,S27,2,K8,2
134,C8,V134,S28,5,K38,3
135,C7,V135,S14,3,K26,5
136,C1,V136,S24,5,K51,2
137,C29,V137,S20,2,K28,4
138,C19,V138,S17,1,K17,4
139,C27,V139,S8,3,K11,4
140,C16,V140,S16,6,K1,3
141,C15,V141,S4,4,K55,2
142,C9,V142,S17,4,K42,1
143,C5,V143,S3,4,K1,3
144,C7,V144,S30,6,K34,3
145,C13,V145,S10,5,K42,1
