id,cluster,client,skill,demand,consultant,priority
1,C2,V1,S15,2,,1
2,C28,V2,S28,2,,1
3,C7,V3,S24,4,,5
4,C29,V4,S14,1,,1
5,C28,V5,S14,3,,4
6,C2,V6,S23,6,,2
7,C12,V7,S21,5,,5
8,C2,V8,S23,4,,1
9,C19,V9,S8,4,,1
10,C19,V10,S6,2,,3
11,C23,V11,S18,4,,1
12,C27,V12,S1,4,,5
13,C5,V13,S23,6,,3
14,C16,V14,S15,5,,5
15,C3,V15,S6,4,,3
16,C28,V16,S30,2,,5
17,C23,V17,S15,1,,1
18,C1,V18,S20,2,,1
19,C8,V19,S17,1,,5
20,C29,V20,S6,1,,2
21,C24,V21,S23,5,,3
22,C22,V22,S29,4,,1
23,C24,V23,S13,3,,1
24,C16,V24,S30,3,,2
25,C18,V25,S4,3,,3
26,C5,V26,S1,6,,5
27,C17,V27,S27,1,,2
28,C13,V28,S30,3,,3
29,C8,V29,S25,2,,1
30,C19,V30,S25,2,,5
31,C12,V31,S3,4,,1
32,C21,V32,S24,4,,1
33,C6,V33,S10,5,,3
34,C23,V34,S21,2,,2
35,C21,V35,S18,4,,3
36,C2,V36,S10,3,,3
37,C17,V37,S16,1,,5
38,C25,V38,S29,5,,4
39,C15,V39,S14,3,,2
40,C14,V40,S16,1,,5
41,C2,V41,S5,3,,3
42,C13,V42,S11,5,,1
43,C8,V43,S2,5,,4
44,C5,V44,S1,3,,5
45,C30,V45,S20,5,,4
46,C29,V46,S25,6,,5
47,C17,V47,S22,1,,1
48,C29,V48,S5,1,,5
49,C30,V49,S22,4,,2
50,C17,V50,S24,6,,4
51,C9,V51,S26,4,,4
52,C4,V52,S19,6,,5
53,C26,V53,S10,2,,5
54,C6,V54,S13,5,,2
55,C29,V55,S23,5,,4
56,C24,V56,S9,4,,1
57,C30,V57,S10,1,,2
58,C25,V58,S21,3,,5
59,C25,V59,S25,3,,2
60,C27,V60,S28,1,,2
61,C27,V61,S23,2,,4
62,C3,V62,S14,2,,3
63,C2,V63,S5,5,,2
64,C15,V64,S29,2,,3
65,C21,V65,S2,1,,2
66,C14,V66,S10,2,,2
67,C30,V67,S5,5,,5
68,C17,V68,S16,5,,1
69,C5,V69,S3,6,,4
70,C10,V70,S13,6,,5
71,C11,V71,S28,6,,5
72,C6,V72,S21,3,,2
73,C2,V73,S12,5,,2
74,C26,V74,S28,3,,4
75,C30,V75,S8,4,,2
76,C7,V76,S23,6,,2
77,C20,V77,S17,2,,2
78,C4,V78,S13,5,,4
79,C28,V79,S17,6,K1,3
80,C27,V80,S27,6,K24,1
81,C30,V81,S19,4,K8,3
82,C19,V82,S3,4,K1,3
83,C18,V83,S17,1,K9,1
84,C3,V84,S2,3,K27,1
85,C2,V85,S11,6,K13,4
