id,cluster,client,skill,demand,consultant,priority
1,C3,V1,S8,2,,2
2,C3,V2,S1,6,,1
3,C1,V3,S9,5,,3
4,C10,V4,S6,1,,2
5,C8,V5,S3,6,,3
6,C2,V6,S7,1,,5
7,C7,V7,S9,6,,2
8,C4,V8,S6,1,,2
9,C1,V9,S10,5,,1
10,C10,V10,S1,3,,3
11,C10,V11,S2,1,,5
12,C2,V12,S3,4,,3
13,C5,V13,S9,5,,4
14,C6,V14,S9,1,,1
15,C3,V15,S8,2,,5
16,C8,V16,S9,5,,4
17,C2,V17,S10,3,,4
18,C7,V18,S4,6,,4
19,C9,V19,S10,3,,1
20,C2,V20,S1,1,,1
21,C8,V21,S2,2,,3
22,C3,V22,S1,1,,5
23,C1,V23,S5,6,,5
24,C2,V24,S2,4,,1
25,C5,V25,S6,4,,2
26,C1,V26,S7,2,,1
27,C2,V27,S2,1,,3
28,C7,V28,S7,3,,1
29,C3,V29,S4,3,,3
30,C5,V30,S8,6,,2
31,C7,V31,S10,3,,5
32,C2,V32,S5,6,,4
33,C7,V33,S7,3,,4
34,C7,V34,S10,6,,4
35,C5,V35,S10,1,,3
36,C3,V36,S9,4,,5
37,C7,V37,S4,1,,5
38,C2,V38,S7,3,,4
39,C9,V39,S3,3,,2
40,C1,V40,S10,6,,3
41,C9,V41,S1,3,K13,1
42,C3,V42,S7,5,K10,2
43,C5,V43,S4,2,K15,2
44,C8,V44,S4,5,K3,2
