id,client,cluster,skill,demand,consultant,priority
1,1,ABQ,DS,1,,4
2,2,ABQ,DS,4,,5
3,3,ABQ,E6,3,,2
4,4,ABQ,H,2,,4
5,5,ATL,D,5,,2
6,6,ATL,DIP,1,,5
7,7,ATL,E,3,,2
8,8,ATL,F,4,,2
9,9,ATL,H,1,,1
10,10,ATL,JIS,1,,1
11,11,ATL,R,2,,5
12,12,ATL,R,4,,5
13,13,BOS,BD,2,,4
14,14,BOS,D,3,,4
15,15,BOS,F,5,,3
16,16,BOS,H,3,,5
17,17,BOS,O,1,,3
18,18,BWI,DIP,3,,2
19,19,BWI,DIP,5,,4
20,20,BWI,DS,5,,3
21,21,BWI,E6,3,,3
22,22,BWI,ESV,1,,1
23,23,BWI,ESV,6,,2
24,24,BWI,F,1,,1
25,25,BWI,F,6,,5
26,26,BWI,H,1,,4
27,27,BWI,I,3,,4
28,28,BWI,IF,4,,5
29,29,BWI,O,5,,4
30,30,BWI,R,2,,2
31,31,BWI,R,1,,2
32,32,BWI,R,3,,1
33,33,BZN,BP,2,,1
34,34,BZN,JIS,3,,1
35,35,CLT,D,1,,1
36,36,CLT,DIP,5,,4
37,37,CLT,DS,5,,1
38,38,CLT,E6,2,,4
39,39,CLT,E6,1,,4
40,40,CLT,E6,3,,5
41,41,CLT,ESD,4,,3
42,42,CLT,F,4,,4
43,43,CLT,H,4,,3
44,44,CLT,R,1,,1
45,45,CLT,R,1,,5
46,46,CMH,BD,1,,3
47,47,CMH,BD,2,,3
48,48,CMH,BD,4,,3
49,49,CMH,D,3,,1
50,50,CMH,D,2,,4
51,51,CMH,D,5,,3
52,52,CMH,E6,2,,5
53,53,DFW,B,2,,5
54,54,DFW,BD,1,,1
55,55,DFW,BD,2,,4
56,56,DFW,BD,5,,3
57,57,DFW,D,1,,2
58,58,DFW,DS,1,,3
59,59,DFW,F,6,,1
60,60,DFW,H,3,,5
61,61,DFW,I,1,,3
62,62,DFW,IF,2,,4
63,63,DFW,IF,1,,3
64,64,DTW,BD,1,,4
65,65,DTW,BP,2,,1
66,66,DTW,D,4,,2
67,67,DTW,E6,2,,1
68,68,DTW,E6,1,,1
69,69,DTW,E6,1,,3
70,70,DTW,F,1,,1
71,71,DTW,H,8,,3
72,72,DTW,IF,1,,4
73,73,DTW,IF,1,,1
74,74,DTW,R,1,,3
75,75,EWN,BD,1,,5
76,76,EWN,DS,2,,5
77,77,EWN,F,9,,3
78,78,EWN,H,2,,2
79,79,EWN,I,1,,5
80,80,EWN,I,4,,1
81,81,EWN,SB,4,,5
82,82,GEG,B,3,,3
83,83,GEG,JIS,3,,4
84,84,GEG,O,2,,4
85,85,GEG,R,1,,4
86,86,IAH,F,2,,3
87,87,IAH,H,5,,2
88,88,IAH,I,2,,5
89,89,IAH,I,1,,3
90,90,IAH,IF,1,,1
91,91,IAH,O,1,,5
92,92,IAH,O,2,,5
93,93,ICT,E6,2,,2
94,94,LAX,D,8,,4
95,95,LAX,E6,1,,4
96,96,LAX,ESD,4,,3
97,97,LAX,ESV,2,,3
98,98,LAX,F,6,,3
99,99,LAX,H,1,,1
100,100,LAX,H,1,,4
101,101,LAX,I,1,,1
102,102,LAX,I,1,,3
103,103,LBB,IF,2,,1
104,104,MCI,BD,1,,4
105,105,MCI,DS,3,,1
106,106,MCI,E,2,,2
107,107,MCI,F,2,,3
108,108,MCI,F,4,,3
109,109,MCI,H,5,,5
110,110,MCO,D,1,,5
111,111,MCO,E,2,,1
112,112,MCO,E,2,,3
113,113,MCO,E6,2,,4
114,114,MCO,E6,1,,3
115,115,MCO,F,7,,1
116,116,MCO,F,4,,3
117,117,MCO,H,2,,4
118,118,MCO,I,3,,3
119,119,MCO,SB,5,,5
120,120,MEM,B,1,,3
121,121,MEM,D,1,,3
122,122,MEM,DIP,1,,2
123,123,MEM,ESD,1,,1
124,124,MEM,ESV,5,,4
125,125,MEM,F,3,,5
126,126,MEM,R,2,,5
127,127,MSP,B,4,,2
128,128,MSP,BP,2,,2
129,129,MSP,BP,3,,5
130,130,MSP,DIP,3,,4
131,131,MSP,F,2,,3
132,132,MSY,BD,1,,3
133,133,MSY,D,1,,2
134,134,MSY,DIP,2,,4
135,135,MSY,E,2,,5
136,136,MSY,F,5,,4
137,137,MSY,H,2,,4
138,138,MSY,I,3,,3
139,139,MSY,O,1,,4
140,140,ORD,B,3,,2
141,141,ORD,D,1,,1
142,142,ORD,DIP,2,,5
143,143,ORD,E6,2,,2
144,144,ORD,E6,4,,2
145,145,ORD,F,2,,1
146,146,ORD,H,5,,2
147,147,ORD,I,1,,3
148,148,PDX,E,5,,4
149,149,PDX,H,1,,2
150,150,PDX,IF,1,,5
151,151,SAT,B,3,,4
152,152,SEA,ESD,4,,1
153,153,SEA,F,1,,2
154,154,SEA,F,2,,3
155,155,SEA,H,1,,1
156,156,SFO,D,2,,2
157,157,SFO,ESV,2,,2
158,158,SFO,F,6,,1
159,159,SFO,F,2,,3
160,160,SFO,H,1,,5
161,161,SFO,H,2,,4
162,162,SFO,I,1,,3
163,163,SFO,I,1,,1
164,164,SFO,IF,2,,4
165,165,SFO,R,2,,2
166,166,SLC,D,4,,3
167,167,SLC,E,3,,4
168,168,SLC,E6,5,,4
169,169,SLC,IF,1,,5
170,170,BOS,BD,2,PH,4
171,171,BOS,O,1,PH,4
172,172,CMH,E6,3,Ma,1
173,173,DTW,H,5,JL,5
174,174,DTW,R,2,JL,3
175,175,DTW,BD,2,RV,3
176,176,DTW,IF,3,TD,3
177,177,EWN,BD,4,PH,4
178,178,MCO,E,1,MK,5
179,179,MEM,DIP,2,PW,5
180,180,MSY,BD,4,WP,3
181,181,ORD,E6,2,Ma,1
182,182,SFO,R,4,MG,5
