id,cluster,client,skill,demand,consultant,priority
1,C7,V1,S10,3,,4
2,C3,V2,S9,5,,5
3,C3,V3,S4,3,,5
4,C7,V4,S5,4,,2
5,C3,V5,S7,2,,1
6,C5,V6,S6,3,,1
7,C1,V7,S9,3,,3
8,C2,V8,S6,6,,2
9,C9,V9,S8,5,,5
10,C6,V10,S5,5,,3
11,C8,V11,S5,6,,1
12,C8,V12,S6,6,,3
13,C4,V13,S10,5,,2
14,C7,V14,S8,4,,3
15,C3,V15,S7,2,,4
16,C1,V16,S10,4,,3
17,C6,V17,S2,6,,2
18,C4,V18,S9,2,,2
19,C8,V19,S2,1,,3
20,C6,V20,S8,6,,5
21,C2,V21,S1,2,,4
22,C6,V22,S1,4,,4
23,C5,V23,S1,5,,1
24,C10,V24,S9,1,,5
25,C7,V25,S8,2,,3
26,C9,V26,S5,6,,3
27,C5,V27,S1,3,,3
28,C8,V28,S4,6,,3
29,C7,V29,S3,6,,1
30,C2,V30,S10,3,,5
31,C6,V31,S4,4,,5
32,C3,V32,S8,3,,1
33,C4,V33,S2,5,,2
34,C2,V34,S6,4,,2
35,C4,V35,S4,5,K7,2
36,C10,V36,S8,4,K10,4
37,C1,V37,S6,6,K18,4
