name,available,cluster,wage,skill,lb,ub
K1,10,C10,1086,"S4,S16,S2,S13,S7,S3,S1,S17,S14,S22,S21,S24,S9,S15,S26",2,3
K2,10,C14,0,"S2,S1,S30,S8,S26,S4,S13,S12,S23,S16,S28,S27,S25,S22,S21",3,5
K3,10,C17,0,"S10,S30,S27,S22,S3,S9,S17,S5,S1,S23,S28,S20,S4,S12,S26",2,5
K4,10,C17,998,"S3,S19,S2,S13,S29,S28,S12,S10,S8,S27,S4,S21,S14,S20,S22",2,4
K5,10,C29,1029,"S16,S14,S25,S9,S29,S3,S20,S5,S26,S22,S18,S13,S11,S19,S17",2,5
K6,10,C21,960,"S30,S7,S28,S29,S6,S20,S21,S24,S14,S25,S3,S11,S1,S12,S27",2,5
K7,10,C28,976,"S29,S21,S16,S22,S18,S6,S9,S17,S1,S10,S24,S30,S20,S4,S14",1,2
K8,10,C5,0,"S30,S28,S1,S20,S15,S25,S23,S17,S14,S19,S26,S29,S10,S21,S24",1,5
K9,10,C11,965,"S19,S9,S24,S22,S28,S10,S15,S17,S16,S30,S14,S23,S27,S21,S20",1,2
K10,10,C8,1012,"S3,S1,S10,S4,S30,S23,S15,S28,S25,S2,S26,S29,S20,S9,S16",1,2
K11,10,C18,978,"S17,S20,S13,S16,S8,S30,S23,S29,S27,S7,S21,S11,S4,S24,S10",4,5
K12,10,C28,0,"S6,S11,S12,S3,S26,S25,S19,S5,S15,S29,S30,S22,S28,S10,S27",1,5
K13,10,C28,1032,"S3,S5,S30,S20,S14,S21,S17,S11,S6,S10,S13,S7,S23,S28,S24",1,5
K14,10,C4,0,"S22,S23,S26,S29,S13,S27,S12,S3,S19,S15,S20,S6,S4,S16,S30",1,5
K15,10,C26,0,"S2,S21,S4,S8,S17,S11,S6,S15,S3,S25,S22,S26,S13,S23,S14",2,5
K16,10,C20,1090,"S21,S16,S25,S2,S26,S20,S13,S18,S8,S5,S7,S19,S29,S23,S14",1,2
K17,10,C11,938,"S27,S28,S13,S21,S20,S26,S25,S6,S29,S30,S5,S15,S22,S4,S3",2,3
K18,10,C19,0,"S7,S6,S11,S2,S26,S4,S21,S16,S17,S24,S20,S14,S28,S18,S23",1,5
K19,10,C9,944,"S7,S23,S18,S20,S22,S21,S2,S9,S25,S10,S16,S19,S6,S4,S8",2,3
K20,10,C19,0,"S7,S2,S21,S3,S29,S9,S1,S23,S17,S16,S6,S24,S26,S19,S12",2,3
K21,10,C12,1056,"S24,S17,S30,S23,S19,S29,S22,S15,S20,S26,S13,S8,S12,S1,S9",2,3
K22,10,C29,0,"S20,S12,S16,S1,S7,S22,S15,S5,S9,S30,S28,S24,S10,S25,S13",2,5
K23,10,C29,0,"S3,S7,S29,S16,S9,S1,S14,S25,S17,S12,S4,S28,S22,S5,S6",2,4
K24,10,C29,0,"S16,S18,S26,S7,S21,S10,S4,S14,S8,S9,S5,S2,S27,S30,S17",1,4
K25,10,C21,945,"S29,S1,S2,S27,S20,S19,S30,S22,S13,S12,S5,S8,S23,S3,S15",2,4
K26,10,C3,919,"S7,S12,S18,S3,S30,S15,S19,S29,S9,S26,S20,S17,S6,S4,S27",2,4
K27,10,C20,1090,"S26,S16,S10,S3,S22,S1,S28,S24,S21,S14,S17,S6,S20,S2,S29",1,3
K28,10,C17,0,"S29,S23,S8,S7,S16,S15,S24,S28,S19,S9,S22,S26,S20,S11,S18",2,3
K29,10,C25,0,"S20,S18,S28,S1,S26,S9,S4,S13,S11,S7,S16,S24,S5,S19,S30",2,4
K30,10,C24,0,"S18,S13,S23,S12,S14,S7,S30,S3,S28,S10,S8,S11,S6,S5,S15",2,4
K31,10,C3,929,"S25,S1,S2,S3,S23,S24,S7,S4,S6,S26,S30,S28,S22,S29,S18",2,4
K32,10,C8,981,"S13,S12,S19,S16,S27,S26,S24,S11,S22,S28,S23,S14,S5,S9,S10",1,4
K33,10,C22,0,"S23,S15,S30,S24,S3,S18,S8,S2,S13,S6,S17,S21,S22,S4,S14",2,3
K34,10,C14,958,"S27,S12,S21,S30,S2,S29,S18,S28,S11,S6,S5,S9,S1,S24,S4",3,4
K35,10,C19,1013,"S6,S25,S18,S5,S27,S2,S12,S7,S23,S28,S13,S8,S16,S26,S17",1,4
K36,10,C1,1084,"S12,S7,S27,S9,S15,S6,S19,S17,S26,S4,S2,S11,S13,S29,S10",2,5
K37,10,C16,0,"S15,S6,S26,S9,S24,S16,S13,S28,S5,S8,S19,S7,S30,S18,S23",1,3
K38,10,C20,1009,"S12,S30,S2,S23,S21,S7,S10,S15,S29,S18,S17,S22,S13,S5,S24",1,2
K39,10,C12,1041,"S6,S27,S29,S15,S1,S2,S28,S14,S8,S17,S12,S26,S9,S20,S10",3,4
K40,10,C3,972,"S3,S27,S13,S2,S1,S20,S19,S7,S30,S25,S6,S14,S23,S28,S5",1,4
