id,cluster,client,skill,demand,consultant,priority
1,C10,V1,S9,6,,2
2,C6,V2,S10,5,,3
3,C4,V3,S5,6,,5
4,C7,V4,S2,6,,3
5,C9,V5,S5,1,,4
6,C8,V6,S2,4,,2
7,C2,V7,S1,6,,1
8,C5,V8,S7,5,,1
9,C10,V9,S6,1,,3
10,C10,V10,S1,5,,5
11,C5,V11,S3,6,,5
12,C9,V12,S6,2,,4
13,C3,V13,S4,5,,5
14,C9,V14,S4,3,,4
15,C7,V15,S9,2,,2
16,C6,V16,S2,3,,2
17,C4,V17,S5,3,,2
18,C8,V18,S1,2,,4
19,C1,V19,S10,1,,3
20,C8,V20,S3,4,,3
21,C2,V21,S4,3,,1
22,C3,V22,S7,2,,5
23,C7,V23,S1,5,,5
24,C1,V24,S2,4,,5
25,C1,V25,S6,6,,3
26,C2,V26,S8,6,,4
27,C9,V27,S10,2,,4
28,C8,V28,S9,2,,1
29,C8,V29,S1,4,,5
30,C6,V30,S5,5,,2
31,C10,V31,S5,6,,4
32,C3,V32,S2,6,,2
33,C5,V33,S8,5,,2
34,C10,V34,S4,3,,4
35,C8,V35,S9,6,K17,5
36,C6,V36,S3,2,K15,4
37,C6,V37,S8,1,K11,3
38,C5,V38,S7,6,K4,4
