id,client,cluster,skill,demand,consultant,priority
1,1,ABQ,B,2,,5
2,2,ABQ,E6,3,,1
3,3,ABQ,ESD,2,,3
4,4,ABQ,ESV,3,,5
5,5,ABQ,F,4,,1
6,6,ABQ,F,5,,5
7,7,ATL,B,5,,4
8,8,ATL,BP,2,,5
9,9,ATL,BP,1,,1
10,10,ATL,D,3,,5
11,11,ATL,DS,1,,3
12,12,ATL,DS,2,,5
13,13,ATL,E6,2,,3
14,14,ATL,ESV,2,,5
15,15,ATL,F,2,,4
16,16,ATL,H,5,,5
17,17,ATL,O,4,,5
18,18,ATL,R,1,,4
19,19,BOS,BP,2,,3
20,20,BOS,E6,3,,2
21,21,BOS,F,2,,3
22,22,BOS,H,2,,2
23,23,BOS,I,1,,3
24,24,BOS,O,1,,3
25,25,BOS,SB,2,,2
26,26,BWI,BP,4,,2
27,27,BWI,ESV,1,,2
28,28,BWI,F,2,,4
29,29,BWI,H,3,,5
30,30,BWI,O,3,,5
31,31,BWI,O,2,,4
32,32,BWI,R,2,,3
33,33,BZN,BP,1,,3
34,34,BZN,I,4,,5
35,35,BZN,IF,1,,2
36,36,CLT,D,1,,2
37,37,CLT,E,3,,3
38,38,CLT,F,1,,1
39,39,CLT,H,2,,4
40,40,CMH,D,4,,4
41,41,CMH,DIP,1,,3
42,42,CMH,E6,2,,1
43,43,CMH,ESV,2,,4
44,44,CMH,F,6,,4
45,45,CMH,H,4,,3
46,46,CMH,O,4,,4
47,47,CMH,O,5,,1
48,48,DFW,B,2,,4
49,49,DFW,F,2,,1
50,50,DFW,H,2,,5
51,51,DFW,I,1,,5
52,52,DFW,JIS,1,,2
53,53,DFW,R,2,,4
54,54,DFW,R,5,,3
55,55,DTW,D,3,,1
56,56,DTW,ESD,2,,3
57,57,DTW,F,4,,3
58,58,DTW,H,2,,2
59,59,DTW,I,2,,5
60,60,DTW,IF,2,,2
61,61,EWN,BP,5,,5
62,62,EWN,D,5,,4
63,63,EWN,F,2,,2
64,64,EWN,F,4,,2
65,65,EWN,H,1,,3
66,66,EWN,O,1,,1
67,67,GEG,H,1,,3
68,68,IAH,B,4,,1
69,69,IAH,F,5,,1
70,70,IAH,I,2,,4
71,71,IAH,I,5,,1
72,72,IAH,O,1,,5
73,73,ICT,DIP,4,,4
74,74,ICT,DS,3,,4
75,75,ICT,E6,2,,4
76,76,ICT,F,5,,3
77,77,ICT,I,4,,3
78,78,LAX,BD,2,,5
79,79,LAX,BP,2,,4
80,80,LAX,D,4,,2
81,81,LAX,D,2,,2
82,82,LAX,E,4,,2
83,83,LAX,E6,1,,3
84,84,LAX,E6,2,,3
85,85,LAX,F,6,,4
86,86,LAX,H,1,,4
87,87,LAX,IF,2,,3
88,88,LAX,IF,1,,3
89,89,LAX,O,2,,2
90,90,LAX,R,2,,3
91,91,LAX,R,2,,3
92,92,LBB,O,5,,3
93,93,LBB,O,5,,3
94,94,MCI,BP,2,,4
95,95,MCI,D,2,,4
96,96,MCI,E,1,,1
97,97,MCI,ESV,1,,1
98,98,MCI,F,3,,1
99,99,MCI,I,2,,1
100,100,MCI,JIS,1,,2
101,101,MCI,JIS,2,,3
102,102,MCI,SB,3,,3
103,103,MCO,D,6,,3
104,104,MCO,E,5,,4
105,105,MCO,E,5,,2
106,106,MCO,ESV,1,,5
107,107,MCO,ESV,2,,5
108,108,MCO,F,3,,4
109,109,MCO,JIS,2,,2
110,110,MCO,SB,5,,5
111,111,MEM,DIP,1,,4
112,112,MEM,F,2,,1
113,113,MEM,IF,1,,3
114,114,MEM,IF,4,,4
115,115,MEM,SB,3,,3
116,116,MSP,BP,3,,4
117,117,MSP,D,2,,1
118,118,MSP,F,2,,4
119,119,MSY,E6,2,,5
120,120,MSY,F,3,,4
121,121,MSY,IF,1,,1
122,122,ORD,D,4,,1
123,123,ORD,DS,2,,3
124,124,ORD,ESD,1,,2
125,125,ORD,ESV,2,,2
126,126,ORD,F,5,,2
127,127,ORD,H,2,,5
128,128,ORD,JIS,5,,2
129,129,PDX,ESV,2,,4
130,130,PDX,H,2,,2
131,131,PDX,I,5,,3
132,132,PDX,O,3,,2
133,133,SAT,BD,1,,3
134,134,SAT,E,4,,1
135,135,SAT,ESV,4,,2
136,136,SAT,R,3,,2
137,137,SEA,DS,2,,2
138,138,SEA,ESV,1,,2
139,139,SEA,ESV,2,,1
140,140,SEA,F,4,,2
141,141,SEA,H,4,,5
142,142,SFO,B,2,,3
143,143,SFO,B,2,,3
144,144,SFO,BP,2,,3
145,145,SFO,BP,1,,1
146,146,SFO,D,2,,1
147,147,SFO,DIP,1,,2
148,148,SFO,DS,2,,1
149,149,SFO,F,8,,4
150,150,SFO,O,2,,4
151,151,SFO,R,2,,4
152,152,SLC,B,3,,1
153,153,SLC,BP,3,,1
154,154,SLC,D,4,,1
155,155,SLC,D,5,,1
156,156,SLC,IF,5,,4
157,157,SLC,O,3,,3
158,158,SLC,SB,1,,5
159,159,ATL,E6,1,GS,3
160,160,BOS,E6,1,PH,4
161,161,CMH,E6,3,RM,4
162,162,DFW,B,2,MK,2
163,163,EWN,O,2,PH,2
164,164,IAH,O,2,JV,4
165,165,ICT,E6,4,ED,5
166,166,LAX,BD,2,MG,2
167,167,MSY,E6,2,GS,3
168,168,SFO,O,2,JV,4
169,169,SFO,DS,6,MG,5
