id,cluster,client,skill,demand,consultant,priority
1,C1,V1,S22,5,,1
2,C13,V2,S7,2,,5
3,C3,V3,S5,4,,1
4,C9,V4,S30,4,,5
5,C21,V5,S19,3,,4
6,C9,V6,S25,3,,4
7,C21,V7,S17,1,,1
8,C26,V8,S21,2,,2
9,C22,V9,S28,5,,3
10,C13,V10,S16,1,,5
11,C27,V11,S18,6,,2
12,C28,V12,S28,2,,1
13,C4,V13,S24,4,,3
14,C21,V14,S3,3,,1
15,C22,V15,S9,1,,4
16,C5,V16,S29,2,,3
17,C16,V17,S11,3,,3
18,C20,V18,S20,6,,1
19,C17,V19,S7,1,,3
20,C30,V20,S1,2,,1
21,C24,V21,S2,6,,2
22,C20,V22,S28,6,,2
23,C20,V23,S4,1,,5
24,C12,V24,S22,2,,4
25,C8,V25,S30,2,,4
26,C3,V26,S11,6,,5
27,C18,V27,S10,5,,5
28,C18,V28,S30,1,,5
29,C24,V29,S7,3,,1
30,C28,V30,S23,4,,1
31,C11,V31,S15,6,,3
32,C2,V32,S4,4,,5
33,C12,V33,S18,2,,4
34,C4,V34,S22,3,,1
35,C23,V35,S27,4,,2
36,C23,V36,S2,3,,1
37,C14,V37,S23,2,,4
38,C13,V38,S14,2,,4
39,C27,V39,S20,3,,1
40,C17,V40,S22,6,,5
41,C4,V41,S23,2,,2
42,C30,V42,S11,6,,3
43,C19,V43,S4,4,,5
44,C16,V44,S28,4,,3
45,C15,V45,S23,2,,5
46,C4,V46,S29,3,,1
47,C4,V47,S13,5,,1
48,C15,V48,S10,1,,2
49,C2,V49,S16,5,,5
50,C21,V50,S4,3,,4
51,C6,V51,S19,4,,4
52,C4,V52,S20,5,,5
53,C9,V53,S24,5,,1
54,C22,V54,S27,1,,1
55,C24,V55,S19,2,,5
56,C29,V56,S10,3,,4
57,C10,V57,S7,6,,2
58,C27,V58,S20,2,,3
59,C16,V59,S29,1,,3
60,C4,V60,S23,5,,4
61,C3,V61,S24,4,,1
62,C2,V62,S1,3,,4
63,C16,V63,S2,5,,1
64,C12,V64,S17,2,,3
65,C2,V65,S22,4,,1
66,C17,V66,S23,6,,2
67,C17,V67,S1,4,,4
68,C30,V68,S3,3,,2
69,C26,V69,S11,1,,3
70,C2,V70,S1,3,,2
71,C20,V71,S14,5,,4
72,C6,V72,S30,2,,2
73,C12,V73,S1,6,,2
74,C4,V74,S22,3,,4
75,C24,V75,S5,2,,4
76,C11,V76,S19,4,,2
77,C12,V77,S30,4,,4
78,C23,V78,S2,6,,4
79,C14,V79,S3,3,,5
80,C7,V80,S2,4,K18,3
81,C13,V81,S23,3,K15,5
82,C22,V82,S15,1,K17,3
83,C4,V83,S22,4,K22,2
84,C30,V84,S1,4,K6,4
85,C11,V85,S13,4,K1,3
86,C23,V86,S21,4,K38,1
87,C20,V87,S28,6,K2,4
