name,available,cluster,wage,skill,lb,ub
K1,10,C12,962,"S19,S16,S4,S22,S2,S23,S12,S25,S11,S8,S10,S6,S28,S21,S17,S5,S14,S7,S29,S20,S18,S27,S3,S15",1,5
K2,10,C5,912,"S20,S30,S15,S21,S8,S14,S9,S10,S17,S5,S16,S7,S24,S29,S18,S27,S6,S12,S4,S25,S22,S11,S1,S3",1,5
K3,10,C30,0,"S30,S24,S28,S8,S23,S11,S5,S1,S3,S13,S7,S16,S18,S10,S19,S29,S17,S6,S2,S9,S4,S21,S14,S26",2,5
K4,10,C21,1032,"S18,S9,S8,S24,S12,S1,S29,S23,S25,S5,S2,S7,S26,S10,S15,S21,S30,S28,S19,S4,S3,S16,S11,S17",1,5
K5,10,C1,927,"S16,S2,S22,S1,S28,S15,S12,S8,S27,S14,S30,S6,S29,S23,S20,S3,S13,S9,S25,S19,S7,S17,S11,S10",4,5
K6,10,C28,936,"S2,S21,S26,S16,S18,S15,S28,S14,S1,S19,S13,S6,S30,S20,S10,S12,S24,S9,S11,S7,S17,S27,S4,S23",2,3
K7,10,C16,922,"S19,S22,S9,S16,S4,S11,S30,S14,S26,S15,S13,S12,S1,S6,S28,S23,S2,S5,S29,S7,S8,S10,S27,S18",1,5
K8,10,C1,1002,"S22,S23,S27,S15,S9,S16,S30,S19,S6,S11,S3,S18,S24,S13,S25,S20,S14,S5,S26,S7,S4,S17,S12,S8",3,4
K9,10,C25,1086,"S9,S22,S14,S18,S6,S8,S16,S1,S12,S15,S10,S27,S5,S23,S25,S13,S7,S19,S29,S30,S4,S28,S24,S21",2,4
K10,10,C29,1064,"S20,S25,S3,S5,S12,S4,S10,S15,S7,S1,S30,S21,S14,S16,S17,S22,S18,S27,S2,S26,S19,S23,S6,S11",3,4
K11,10,C29,0,"S26,S13,S4,S27,S18,S8,S9,S20,S29,S7,S22,S17,S10,S25,S11,S6,S2,S28,S15,S19,S23,S12,S21,S5",2,3
K12,10,C4,1076,"S13,S20,S5,S8,S15,S12,S21,S4,S18,S10,S16,S30,S23,S1,S28,S26,S27,S9,S14,S3,S19,S25,S22,S29",2,5
K13,10,C8,0,"S10,S9,S8,S20,S1,S24,S19,S7,S15,S16,S23,S17,S27,S13,S29,S5,S6,S21,S25,S12,S11,S28,S4,S26",1,3
K14,10,C7,970,"S2,S18,S7,S1,S26,S9,S16,S29,S11,S19,S8,S28,S17,S10,S22,S23,S24,S21,S14,S5,S13,S4,S27,S12",2,5
K15,10,C15,1039,"S18,S16,S26,S29,S6,S9,S5,S3,S20,S19,S12,S15,S21,S11,S28,S27,S25,S13,S14,S30,S7,S23,S2,S8",4,5
K16,10,C26,0,"S16,S6,S5,S19,S9,S20,S17,S22,S10,S23,S29,S3,S25,S8,S11,S18,S14,S24,S28,S13,S26,S4,S21,S2",1,4
K17,10,C22,0,"S10,S17,S12,S14,S2,S7,S6,S23,S20,S19,S15,S22,S5,S11,S30,S16,S25,S18,S1,S26,S9,S13,S28,S27",2,3
K18,10,C24,998,"S22,S4,S21,S3,S5,S6,S30,S20,S15,S19,S27,S24,S9,S26,S1,S7,S29,S17,S18,S13,S25,S12,S14,S2",2,3
