name,available,cluster,wage,skill,lb,ub
K1,10,C10,1041,"S20,S13,S1,S41,S47,S19,S24,S27,S50,S5,S34,S44,S49,S7,S15,S23,S30,S22,S25,S46,S8,S10,S29,S9,S3,S12,S11,S6,S32,S16,S2,S39,S31,S18,S14,S28,S38,S37,S35,S21",3,5
K2,10,C30,0,"S6,S41,S12,S27,S28,S11,S20,S45,S49,S23,S25,S50,S21,S34,S18,S36,S8,S30,S44,S39,S5,S10,S4,S33,S37,S24,S40,S26,S35,S46,S3,S47,S43,S29,S16,S19,S48,S7,S15,S42",2,5
K3,10,C40,0,"S8,S48,S15,S6,S31,S38,S17,S37,S3,S25,S36,S44,S50,S45,S9,S23,S46,S22,S34,S42,S12,S30,S33,S20,S1,S18,S35,S5,S27,S41,S13,S7,S29,S49,S32,S19,S21,S26,S2,S43",1,4
K4,10,C19,0,"S19,S3,S50,S41,S27,S12,S1,S7,S36,S25,S30,S39,S46,S11,S31,S33,S20,S42,S24,S43,S34,S18,S29,S35,S26,S15,S21,S23,S16,S49,S14,S6,S48,S44,S40,S8,S32,S9,S4,S38",2,5
K5,10,C30,0,"S21,S36,S14,S35,S15,S3,S5,S40,S46,S16,S47,S42,S31,S8,S19,S7,S24,S49,S26,S25,S22,S39,S2,S37,S28,S1,S6,S33,S45,S9,S43,S13,S38,S27,S11,S23,S41,S10,S4,S48",1,3
K6,10,C48,1007,"S20,S18,S37,S1,S3,S11,S23,S45,S44,S19,S4,S48,S17,S16,S39,S38,S21,S15,S46,S9,S42,S41,S47,S35,S7,S49,S32,S31,S36,S5,S8,S29,S33,S28,S2,S10,S24,S25,S13,S27",3,4
K7,10,C25,905,"S14,S32,S17,S49,S39,S15,S8,S22,S36,S34,S37,S26,S1,S11,S45,S3,S29,S9,S30,S42,S18,S46,S38,S33,S31,S2,S28,S41,S12,S23,S40,S10,S25,S35,S5,S21,S50,S19,S24,S47",4,5
K8,10,C3,1043,"S13,S32,S8,S19,S33,S45,S39,S46,S3,S43,S23,S35,S1,S25,S9,S21,S50,S2,S15,S7,S40,S31,S41,S47,S10,S27,S36,S4,S44,S29,S17,S18,S22,S49,S14,S38,S24,S48,S20,S6",4,5
K9,10,C23,0,"S41,S15,S19,S12,S14,S9,S40,S32,S6,S5,S23,S49,S35,S1,S4,S8,S36,S45,S50,S46,S17,S48,S43,S26,S10,S7,S13,S47,S3,S38,S20,S33,S31,S22,S18,S25,S39,S11,S27,S21",3,4
K10,10,C17,969,"S29,S41,S13,S43,S37,S19,S25,S28,S18,S30,S46,S15,S16,S5,S44,S26,S50,S7,S12,S32,S35,S21,S34,S39,S38,S24,S45,S47,S3,S40,S48,S33,S10,S42,S9,S6,S14,S31,S11,S27",2,5
