id,cluster,client,skill,demand,consultant,priority
1,C45,V1,S8,6,,2
2,C29,V2,S2,6,,3
3,C32,V3,S49,4,,2
4,C32,V4,S42,3,,4
5,C28,V5,S5,3,,3
6,C1,V6,S42,4,,2
7,C5,V7,S14,1,,3
8,C29,V8,S23,3,,3
9,C30,V9,S4,5,,5
10,C39,V10,S16,4,,2
11,C3,V11,S45,2,,2
12,C46,V12,S10,2,,2
13,C32,V13,S17,2,,1
14,C32,V14,S25,3,,3
15,C28,V15,S22,4,,5
16,C17,V16,S28,6,,2
17,C4,V17,S12,1,,1
18,C48,V18,S1,4,,5
19,C49,V19,S1,5,,4
20,C29,V20,S38,2,,2
21,C45,V21,S28,6,,5
22,C49,V22,S36,6,,4
23,C30,V23,S22,2,,5
24,C17,V24,S35,3,,4
25,C17,V25,S37,2,,4
26,C3,V26,S40,1,,3
27,C44,V27,S48,4,,3
28,C1,V28,S3,1,,4
29,C31,V29,S10,5,,2
30,C47,V30,S49,2,,3
31,C25,V31,S40,6,,1
32,C7,V32,S49,5,,3
33,C29,V33,S36,1,,2
34,C9,V34,S47,1,,4
35,C24,V35,S49,6,,5
36,C46,V36,S1,5,,1
37,C37,V37,S46,4,,2
38,C35,V38,S12,1,,3
39,C16,V39,S4,5,,1
40,C22,V40,S49,5,,5
41,C34,V41,S38,2,,4
42,C36,V42,S10,1,,4
43,C16,V43,S34,5,,5
44,C1,V44,S46,2,,4
45,C28,V45,S49,2,,4
46,C45,V46,S9,4,,4
47,C47,V47,S10,6,,3
48,C43,V48,S35,1,,3
49,C21,V49,S35,5,,4
50,C16,V50,S9,3,,2
51,C46,V51,S2,2,,3
52,C49,V52,S17,1,,4
53,C24,V53,S9,6,,4
54,C18,V54,S3,1,,4
55,C35,V55,S50,2,,5
56,C23,V56,S24,5,,1
57,C25,V57,S35,3,,1
58,C9,V58,S9,3,,1
59,C9,V59,S23,3,,1
60,C44,V60,S43,1,,4
61,C34,V61,S19,4,,2
62,C21,V62,S37,5,,1
63,C2,V63,S42,1,,5
64,C43,V64,S24,2,,4
65,C31,V65,S40,6,,5
66,C6,V66,S26,3,,4
67,C50,V67,S7,3,,2
68,C35,V68,S5,2,,4
69,C40,V69,S25,3,,1
70,C27,V70,S1,2,,2
71,C10,V71,S20,1,,5
72,C48,V72,S14,2,,4
