airport_from,airport_to,cost,distance
C1,C1,0.0,0.0
C1,C2,44.6,44.6
C1,C3,52.8,52.8
C1,C4,85.0,85.0
C1,C5,75.4,75.4
C1,C6,65.0,65.0
C1,C7,38.8,38.8
C1,C8,100.3,100.3
C1,C9,98.0,98.0
C1,C10,64.4,64.4
C1,C11,108.2,108.2
C1,C12,41.1,41.1
C1,C13,67.1,67.1
C1,C14,15.7,15.7
C1,C15,58.7,58.7
C1,C16,29.7,29.7
C1,C17,64.1,64.1
C1,C18,90.8,90.8
C1,C19,25.5,25.5
C1,C20,86.5,86.5
C1,C21,57.8,57.8
C1,C22,36.2,36.2
C1,C23,95.5,95.5
C1,C24,50.4,50.4
C1,C25,56.1,56.1
C1,C26,80.3,80.3
C1,C27,13.0,13.0
C1,C28,111.6,111.6
C1,C29,37.1,37.1
C1,C30,120.0,120.0
C2,C1,44.6,44.6
C2,C2,0.0,0.0
C2,C3,65.6,65.6
C2,C4,65.4,65.4
C2,C5,65.6,65.6
C2,C6,24.6,24.6
C2,C7,29.0,29.0
C2,C8,69.0,69.0
C2,C9,54.4,54.4
C2,C10,21.6,21.6
C2,C11,68.0,68.0
C2,C12,54.4,54.4
C2,C13,44.4,44.4
C2,C14,29.4,29.4
C2,C15,69.4,69.4
C2,C16,23.8,23.8
C2,C17,69.4,69.4
C2,C18,51.6,51.6
C2,C19,49.7,49.7
C2,C20,54.8,54.8
C2,C21,14.9,14.9
C2,C22,25.6,25.6
C2,C23,70.3,70.3
C2,C24,48.3,48.3
C2,C25,59.5,59.5
C2,C26,50.6,50.6
C2,C27,50.0,50.0
C2,C28,71.6,71.6
C2,C29,52.4,52.4
C2,C30,86.9,86.9
C3,C1,52.8,52.8
C3,C2,65.6,65.6
C3,C3,0.0,0.0
C3,C4,51.5,51.5
C3,C5,35.0,35.0
C3,C6,89.9,89.9
C3,C7,36.9,36.9
C3,C8,76.6,76.6
C3,C9,98.6,98.6
C3,C10,85.8,85.8
C3,C11,97.6,97.6
C3,C12,12.5,12.5
C3,C13,46.2,46.2
C3,C14,50.5,50.5
C3,C15,6.0,6.0
C3,C16,43.1,43.1
C3,C17,13.4,13.4
C3,C18,82.0,82.0
C3,C19,27.3,27.3
C3,C20,67.3,67.3
C3,C21,68.4,68.4
C3,C22,40.0,40.0
C3,C23,65.3,65.3
C3,C24,21.2,21.2
C3,C25,12.6,12.6
C3,C26,60.8,60.8
C3,C27,41.0,41.0
C3,C28,100.0,100.0
C3,C29,16.2,16.2
C3,C30,94.8,94.8
C4,C1,85.0,85.0
C4,C2,65.4,65.4
C4,C3,51.5,51.5
C4,C4,0.0,0.0
C4,C5,17.5,17.5
C4,C6,81.3,81.3
C4,C7,47.1,47.1
C4,C8,27.0,27.0
C4,C9,64.1,64.1
C4,C10,75.4,75.4
C4,C11,53.9,53.9
C4,C12,53.1,53.1
C4,C13,21.0,21.0
C4,C14,73.4,73.4
C4,C15,48.8,48.8
C4,C16,58.0,58.0
C4,C17,41.1,41.1
C4,C18,43.6,43.6
C4,C19,66.2,66.2
C4,C20,24.2,24.2
C4,C21,56.6,56.6
C4,C22,50.7,50.7
C4,C23,13.9,13.9
C4,C24,36.9,36.9
C4,C25,39.1,39.1
C4,C26,21.2,21.2
C4,C27,78.8,78.8
C4,C28,55.1,55.1
C4,C29,55.9,55.9
C4,C30,43.7,43.7
C5,C1,75.4,75.4
C5,C2,65.6,65.6
C5,C3,35.0,35.0
C5,C4,17.5,17.5
C5,C5,0.0,0.0
C5,C6,85.4,85.4
C5,C7,41.1,41.1
C5,C8,44.3,44.3
C5,C9,77.0,77.0
C5,C10,79.9,79.9
C5,C11,69.7,69.7
C5,C12,38.8,38.8
C5,C13,24.8,24.8
C5,C14,66.2,66.2
C5,C15,31.8,31.8
C5,C16,52.0,52.0
C5,C17,23.8,23.8
C5,C18,57.2,57.2
C5,C19,53.7,53.7
C5,C20,38.8,38.8
C5,C21,60.5,60.5
C5,C22,45.2,45.2
C5,C23,31.3,31.3
C5,C24,25.0,25.0
C5,C25,23.3,23.3
C5,C26,33.8,33.8
C5,C27,67.2,67.2
C5,C28,71.3,71.3
C5,C29,42.2,42.2
C5,C30,61.0,61.0
C6,C1,65.0,65.0
C6,C2,24.6,24.6
C6,C3,89.9,89.9
C6,C4,81.3,81.3
C6,C5,85.4,85.4
C6,C6,0.0,0.0
C6,C7,53.0,53.0
C6,C8,77.0,77.0
C6,C9,46.6,46.6
