id,cluster,client,skill,demand,consultant,priority
1,C22,V1,S23,5,,5
2,C10,V2,S26,6,,2
3,C10,V3,S25,1,,5
4,C3,V4,S23,6,,3
5,C21,V5,S12,4,,3
6,C12,V6,S13,3,,4
7,C11,V7,S2,4,,3
8,C27,V8,S6,4,,2
9,C30,V9,S20,1,,2
10,C3,V10,S2,4,,2
11,C10,V11,S15,3,,1
12,C19,V12,S6,3,,4
13,C9,V13,S24,2,,1
14,C6,V14,S9,3,,1
15,C17,V15,S19,3,,2
16,C13,V16,S28,6,,4
17,C5,V17,S29,4,,5
18,C3,V18,S4,1,,2
19,C2,V19,S27,5,,4
20,C11,V20,S28,6,,3
21,C1,V21,S4,6,,5
22,C18,V22,S1,1,,1
23,C18,V23,S23,4,,4
24,C27,V24,S29,2,,5
25,C11,V25,S12,1,,3
26,C3,V26,S16,4,,5
27,C6,V27,S29,6,,1
28,C21,V28,S20,3,,4
29,C26,V29,S30,5,,4
30,C21,V30,S17,1,,3
31,C23,V31,S20,2,,4
32,C13,V32,S3,2,,2
33,C23,V33,S21,5,,5
34,C23,V34,S15,3,,1
35,C30,V35,S18,2,,3
36,C2,V36,S28,6,,1
37,C3,V37,S14,4,,2
38,C2,V38,S8,6,,5
39,C24,V39,S10,5,,1
40,C27,V40,S27,3,,1
41,C2,V41,S26,3,,2
42,C27,V42,S21,3,,5
43,C22,V43,S16,6,,5
44,C4,V44,S8,3,,2
45,C20,V45,S6,4,,3
46,C5,V46,S30,3,,3
47,C21,V47,S9,1,,3
48,C28,V48,S10,1,,4
49,C29,V49,S13,6,,3
50,C18,V50,S18,6,,2
51,C26,V51,S22,6,,1
52,C8,V52,S11,3,,4
53,C22,V53,S16,3,,5
54,C3,V54,S14,4,,1
55,C15,V55,S27,1,,1
56,C4,V56,S21,2,,3
57,C13,V57,S15,6,,4
58,C15,V58,S16,1,,2
59,C4,V59,S25,2,,5
60,C20,V60,S8,1,,2
61,C13,V61,S30,2,,1
62,C14,V62,S4,4,,4
63,C28,V63,S6,5,,1
64,C16,V64,S4,5,,2
65,C21,V65,S16,4,,1
66,C17,V66,S23,5,,2
67,C21,V67,S3,6,,5
68,C23,V68,S9,2,,5
69,C14,V69,S30,5,,4
70,C24,V70,S30,4,,3
71,C13,V71,S16,1,,1
72,C19,V72,S29,6,,3
73,C19,V73,S22,4,,3
74,C26,V74,S22,2,,2
75,C28,V75,S17,5,,5
76,C17,V76,S30,1,K11,1
77,C19,V77,S9,5,K2,2
78,C2,V78,S26,1,K8,5
79,C25,V79,S29,3,K35,3
80,C5,V80,S5,5,K23,5
81,C2,V81,S23,2,K13,4
82,C9,V82,S15,5,K26,1
83,C14,V83,S20,4,K20,3
84,C9,V84,S8,4,K29,5
