id,cluster,client,skill,demand,consultant,priority
1,C48,V1,S39,4,,4
2,C50,V2,S1,2,,3
3,C48,V3,S16,6,,4
4,C10,V4,S42,4,,3
5,C49,V5,S7,1,,3
6,C32,V6,S30,4,,3
7,C25,V7,S6,5,,4
8,C15,V8,S5,5,,1
9,C16,V9,S29,4,,4
10,C33,V10,S33,3,,4
11,C6,V11,S39,2,,1
12,C49,V12,S22,3,,5
13,C50,V13,S24,3,,2
14,C6,V14,S39,4,,5
15,C28,V15,S21,1,,4
16,C29,V16,S30,5,,4
17,C4,V17,S34,5,,3
18,C27,V18,S50,3,,3
19,C39,V19,S15,3,,4
20,C17,V20,S36,3,,5
21,C41,V21,S23,4,,3
22,C31,V22,S40,1,,1
23,C7,V23,S42,5,,5
24,C41,V24,S19,4,,2
25,C43,V25,S24,2,,1
26,C36,V26,S13,4,,5
27,C44,V27,S40,5,,1
28,C4,V28,S17,1,,4
29,C15,V29,S2,3,,4
30,C27,V30,S42,6,,2
31,C23,V31,S15,1,,2
32,C39,V32,S20,3,,2
33,C15,V33,S14,4,,2
34,C18,V34,S5,4,,5
35,C44,V35,S38,5,,5
36,C33,V36,S6,5,,4
37,C7,V37,S18,3,,3
38,C27,V38,S35,5,,5
39,C43,V39,S30,5,,3
40,C25,V40,S28,5,,4
41,C34,V41,S20,6,,5
42,C16,V42,S23,1,,1
43,C35,V43,S46,4,,5
44,C46,V44,S45,1,,1
45,C27,V45,S22,4,,5
46,C3,V46,S47,6,,5
47,C33,V47,S16,6,,2
48,C42,V48,S36,3,,5
49,C50,V49,S37,1,,4
50,C11,V50,S7,5,,1
51,C15,V51,S1,4,,3
52,C50,V52,S42,4,,2
53,C42,V53,S6,1,,5
54,C19,V54,S40,5,,3
55,C33,V55,S28,6,,4
56,C8,V56,S33,3,,1
57,C20,V57,S41,1,,3
58,C5,V58,S24,5,,5
59,C10,V59,S16,2,,3
60,C50,V60,S5,3,,4
61,C31,V61,S35,5,,2
62,C46,V62,S7,3,,1
63,C14,V63,S5,3,,4
64,C49,V64,S9,1,,1
65,C48,V65,S12,1,,3
66,C14,V66,S20,5,,5
67,C49,V67,S1,1,,4
68,C29,V68,S1,3,,5
69,C1,V69,S40,4,,1
70,C3,V70,S1,5,,5
71,C45,V71,S41,3,,3
72,C49,V72,S25,1,,1
73,C11,V73,S10,6,,4
74,C17,V74,S22,1,,4
75,C14,V75,S32,4,,3
76,C12,V76,S27,5,,5
77,C28,V77,S6,1,,4
78,C15,V78,S28,4,,3
79,C12,V79,S42,4,,3
80,C47,V80,S37,4,,3
81,C2,V81,S44,2,,1
82,C27,V82,S39,6,,1
83,C38,V83,S16,5,,2
84,C31,V84,S49,3,,2
85,C6,V85,S4,6,,5
86,C49,V86,S49,2,,1
87,C33,V87,S36,5,,5
88,C48,V88,S24,3,,3
89,C33,V89,S26,4,,2
90,C43,V90,S17,4,,1
91,C10,V91,S40,4,,5
92,C33,V92,S14,1,,2
93,C24,V93,S27,5,,5
94,C8,V94,S16,4,,3
95,C34,V95,S43,1,,4
96,C39,V96,S43,3,,1
97,C13,V97,S1,3,,3
98,C33,V98,S4,6,,4
99,C16,V99,S44,6,,5
100,C24,V100,S3,4,,4
101,C14,V101,S5,3,,5
102,C26,V102,S37,5,,1
103,C39,V103,S48,1,,4
104,C22,V104,S9,4,,2
105,C9,V105,S42,3,,5
106,C48,V106,S40,5,,2
107,C49,V107,S50,1,,2
108,C41,V108,S42,6,,1
109,C43,V109,S34,1,,4
110,C44,V110,S46,2,,4
111,C7,V111,S42,6,,4
112,C40,V112,S45,4,,3
113,C6,V113,S16,4,,4
114,C38,V114,S1,6,,2
115,C33,V115,S4,5,,1
116,C16,V116,S40,4,,3
117,C44,V117,S36,5,,2
118,C1,V118,S45,1,,5
119,C5,V119,S32,6,,4
120,C32,V120,S27,4,,3
121,C27,V121,S24,4,,3
122,C25,V122,S42,4,,1
123,C10,V123,S11,6,,4
124,C27,V124,S9,4,,2
125,C16,V125,S14,3,,4
126,C9,V126,S40,6,,3
127,C17,V127,S43,3,,3
128,C4,V128,S11,1,,4
129,C43,V129,S31,3,,1
130,C28,V130,S3,6,,2
131,C30,V131,S48,5,,1
132,C26,V132,S42,6,,1
133,C16,V133,S48,1,,4
134,C22,V134,S35,1,,2
135,C10,V135,S17,5,,3
136,C15,V136,S20,6,,4
137,C12,V137,S37,6,,2
138,C32,V138,S17,5,,1
139,C5,V139,S36,3,,2
140,C18,V140,S4,5,,4
141,C19,V141,S38,5,,3
142,C32,V142,S43,4,,3
143,C24,V143,S40,6,,5
144,C45,V144,S40,5,,4
145,C42,V145,S7,1,,1
146,C48,V146,S18,2,,1
147,C35,V147,S28,3,,4
148,C6,V148,S49,4,,1
149,C39,V149,S6,6,,2
150,C33,V150,S24,5,,2
151,C20,V151,S19,3,,2
152,C13,V152,S32,5,,5
153,C47,V153,S4,3,,3
154,C30,V154,S13,5,,3
155,C6,V155,S39,3,,5
156,C19,V156,S25,2,,3
157,C33,V157,S8,6,,4
158,C7,V158,S6,3,,3
159,C4,V159,S46,4,,2
160,C39,V160,S30,2,,4
161,C49,V161,S35,2,,2
162,C23,V162,S21,5,,5
163,C47,V163,S20,6,,4
164,C13,V164,S17,3,,5
165,C35,V165,S42,1,,1
166,C24,V166,S8,4,,4
167,C31,V167,S13,4,,4
168,C13,V168,S4,6,,5
169,C44,V169,S47,2,,4
170,C26,V170,S7,5,,1
171,C25,V171,S1,5,,3
172,C34,V172,S31,4,,2
173,C48,V173,S41,1,,3
174,C11,V174,S31,6,,5
175,C10,V175,S21,2,,5
176,C26,V176,S28,4,,1
177,C38,V177,S43,5,,3
178,C17,V178,S48,5,,4
179,C37,V179,S14,1,,1
180,C18,V180,S49,4,,1
181,C43,V181,S39,4,,1
182,C3,V182,S42,3,,2
183,C50,V183,S4,2,,1
184,C15,V184,S10,5,,5
185,C14,V185,S48,3,,2
186,C7,V186,S22,2,,3
187,C35,V187,S36,3,,3
188,C17,V188,S50,5,,2
189,C29,V189,S31,2,,5
190,C40,V190,S35,3,,1
191,C21,V191,S34,2,,1
192,C40,V192,S25,4,,2
193,C18,V193,S1,4,,4
194,C7,V194,S29,3,,2
195,C26,V195,S19,3,,1
196,C36,V196,S6,4,,3
197,C9,V197,S23,1,K15,5
198,C28,V198,S34,5,K35,4
199,C35,V199,S9,1,K4,4
200,C20,V200,S31,5,K4,4
201,C48,V201,S44,5,K62,2
202,C1,V202,S39,2,K55,1
203,C11,V203,S20,1,K68,2
204,C39,V204,S35,1,K29,2
205,C1,V205,S21,1,K96,4
206,C18,V206,S30,3,K64,2
