id,client,cluster,skill,demand,consultant,priority
1,1,ABQ,BP,4,,2
2,2,ABQ,D,3,,2
3,3,ABQ,E6,3,,3
4,4,ABQ,F,4,,4
5,5,ABQ,F,1,,4
6,6,ABQ,H,3,,5
7,7,ATL,B,2,,5
8,8,ATL,D,2,,3
9,9,ATL,E,1,,5
10,10,ATL,F,4,,1
11,11,ATL,H,3,,2
12,12,ATL,I,2,,5
13,13,BOS,B,1,,5
14,14,BOS,DS,3,,5
15,15,BOS,E6,5,,5
16,16,BOS,ESV,4,,5
17,17,BOS,F,3,,2
18,18,BOS,H,3,,1
19,19,BOS,I,5,,5
20,20,BWI,D,1,,3
21,21,BWI,D,5,,5
22,22,BWI,DIP,2,,2
23,23,BWI,ESV,5,,3
24,24,BWI,H,2,,1
25,25,BWI,I,4,,1
26,26,BWI,JIS,2,,1
27,27,BWI,JIS,2,,5
28,28,CLT,BD,4,,2
29,29,CLT,E,2,,4
30,30,CLT,F,4,,2
31,31,CLT,IF,4,,4
32,32,CLT,O,3,,4
33,33,CLT,R,1,,2
34,34,CLT,SB,2,,5
35,35,CMH,BP,4,,4
36,36,CMH,D,2,,1
37,37,CMH,DIP,1,,5
38,38,CMH,ESV,2,,5
39,39,CMH,H,3,,2
40,40,CMH,H,4,,2
41,41,CMH,I,2,,2
42,42,CMH,O,2,,3
43,43,CMH,R,1,,3
44,44,CMH,R,1,,5
45,45,DFW,B,5,,3
46,46,DFW,BP,2,,1
47,47,DFW,D,2,,1
48,48,DFW,DIP,5,,3
49,49,DFW,ESD,5,,4
50,50,DFW,ESV,2,,4
51,51,DFW,F,5,,2
52,52,DFW,H,3,,3
53,53,DFW,H,4,,4
54,54,DFW,I,2,,2
55,55,DFW,I,3,,2
56,56,DFW,R,2,,1
57,57,DTW,BD,2,,1
58,58,DTW,D,2,,2
59,59,DTW,D,5,,1
60,60,DTW,ESD,3,,2
61,61,DTW,F,4,,4
62,62,DTW,H,1,,1
63,63,DTW,R,2,,5
64,64,EWN,BD,3,,2
65,65,EWN,DIP,5,,1
66,66,EWN,DIP,3,,1
67,67,EWN,DS,2,,4
68,68,EWN,F,7,,5
69,69,EWN,F,1,,3
70,70,EWN,H,1,,4
71,71,EWN,I,1,,4
72,72,EWN,I,4,,3
73,73,EWN,IF,3,,5
74,74,EWN,R,2,,2
75,75,IAH,BD,3,,4
76,76,IAH,DS,2,,2
77,77,IAH,E,2,,4
78,78,IAH,E,4,,1
79,79,IAH,F,5,,4
80,80,IAH,I,2,,1
81,81,IAH,JIS,2,,5
82,82,IAH,R,2,,2
83,83,ICT,B,5,,2
84,84,ICT,DIP,1,,3
85,85,ICT,F,3,,3
86,86,ICT,R,2,,2
87,87,LAX,BP,4,,5
88,88,LAX,D,3,,1
89,89,LAX,DIP,4,,3
90,90,LAX,DS,2,,5
91,91,LAX,DS,4,,3
92,92,LAX,E,3,,4
93,93,LAX,ESV,4,,4
94,94,LAX,ESV,6,,5
95,95,LAX,F,8,,2
96,96,LAX,I,6,,2
97,97,LAX,I,3,,1
98,98,LAX,IF,2,,5
99,99,LAX,O,4,,2
100,100,LAX,R,2,,2
101,101,LAX,R,2,,3
102,102,LBB,B,4,,5
103,103,LBB,DIP,5,,2
104,104,LBB,E,1,,5
105,105,LBB,I,1,,5
106,106,MCI,B,3,,3
107,107,MCI,BP,2,,1
108,108,MCI,DIP,2,,2
109,109,MCI,F,3,,4
110,110,MCI,H,2,,3
111,111,MCI,I,4,,3
112,112,MCO,B,3,,1
113,113,MCO,BD,2,,3
114,114,MCO,D,2,,5
115,115,MCO,DS,5,,5
116,116,MCO,E,4,,4
117,117,MCO,E6,1,,5
118,118,MCO,F,4,,4
119,119,MCO,H,3,,4
120,120,MCO,I,2,,4
121,121,MCO,IF,1,,4
122,122,MEM,H,1,,3
123,123,MEM,I,2,,5
124,124,MSP,H,1,,1
125,125,MSP,R,2,,5
126,126,MSY,D,2,,4
127,127,MSY,E,3,,2
128,128,MSY,E6,4,,2
129,129,MSY,F,7,,2
130,130,MSY,IF,1,,2
131,131,MSY,IF,3,,2
132,132,ORD,B,2,,1
133,133,ORD,BD,4,,3
134,134,ORD,D,4,,4
135,135,ORD,D,2,,5
136,136,ORD,E,2,,1
137,137,ORD,ESV,2,,5
138,138,ORD,F,5,,3
139,139,ORD,H,1,,3
140,140,ORD,H,4,,3
141,141,ORD,I,3,,3
142,142,ORD,JIS,4,,5
143,143,PDX,DS,4,,1
144,144,PDX,ESD,3,,4
145,145,SAT,DS,4,,4
146,146,SAT,JIS,4,,5
147,147,SEA,DIP,1,,1
148,148,SEA,E,3,,2
149,149,SEA,H,4,,1
150,150,SFO,ESV,3,,2
151,151,SFO,F,6,,2
152,152,SFO,R,1,,2
153,153,SLC,H,2,,4
154,154,SLC,IF,4,,4
155,155,SLC,JIS,5,,1
156,156,LAX,ESV,4,Am,3
157,157,MCI,E,2,ED,3
158,158,MCO,R,4,CM,3
159,159,MEM,E,1,GS,5
160,160,MEM,E,2,ED,5
161,161,MSP,R,5,BC,5
162,162,MSP,BD,2,RV,1
163,163,MSP,I,2,JL,3
164,164,MSY,O,2,GP,4
165,165,SFO,E,4,Ru,1
166,166,SFO,F,2,Bu,2
167,167,SLC,ESV,1,BC,5
