id,client,cluster,skill,demand,consultant,priority
1,1,ABQ,F,2,,2
2,2,ABQ,R,4,,4
3,3,ABQ,R,4,,4
4,4,ATL,BD,3,,4
5,5,ATL,D,2,,2
6,6,ATL,F,6,,1
7,7,ATL,F,2,,2
8,8,ATL,H,1,,2
9,9,BOS,B,2,,3
10,10,BOS,BP,2,,1
11,11,BOS,D,3,,2
12,12,BOS,DIP,2,,4
13,13,BOS,E,1,,3
14,14,BOS,F,4,,2
15,15,BWI,ESV,3,,1
16,16,BWI,F,2,,5
17,17,BWI,H,8,,4
18,18,BWI,R,4,,2
19,19,BZN,R,3,,5
20,20,CLT,D,4,,5
21,21,CLT,DIP,2,,2
22,22,CLT,ESD,5,,4
23,23,CLT,F,2,,1
24,24,CLT,I,3,,2
25,25,CMH,D,1,,2
26,26,CMH,DIP,4,,4
27,27,CMH,E,3,,2
28,28,CMH,E,1,,5
29,29,CMH,ESV,5,,2
30,30,CMH,F,5,,5
31,31,CMH,F,5,,5
32,32,CMH,H,2,,1
33,33,CMH,I,6,,3
34,34,CMH,O,3,,5
35,35,CMH,R,2,,5
36,36,DFW,BD,3,,2
37,37,DFW,BP,2,,5
38,38,DFW,DIP,5,,1
39,39,DFW,E6,3,,5
40,40,DFW,F,5,,1
41,41,DFW,H,1,,5
42,42,DFW,JIS,1,,2
43,43,DFW,R,1,,5
44,44,DFW,R,5,,5
45,45,DTW,BD,2,,5
46,46,DTW,BP,2,,2
47,47,DTW,D,8,,2
48,48,DTW,DIP,5,,1
49,49,DTW,DS,2,,1
50,50,DTW,E,1,,2
51,51,DTW,F,8,,5
52,52,DTW,H,9,,1
53,53,DTW,I,2,,4
54,54,DTW,I,3,,5
55,55,DTW,JIS,4,,5
56,56,DTW,SB,3,,1
57,57,EWN,D,4,,5
58,58,EWN,ESD,5,,2
59,59,EWN,F,2,,2
60,60,EWN,H,5,,1
61,61,EWN,I,5,,3
62,62,EWN,JIS,1,,4
63,63,EWN,O,3,,1
64,64,EWN,O,3,,5
65,65,GEG,B,1,,3
66,66,GEG,DIP,4,,4
67,67,IAH,DIP,3,,2
68,68,IAH,E,1,,5
69,69,IAH,F,1,,3
70,70,IAH,H,2,,4
71,71,IAH,IF,3,,5
72,72,ICT,BP,5,,5
73,73,ICT,BP,1,,1
74,74,ICT,DS,1,,5
75,75,ICT,ESV,3,,5
76,76,ICT,F,5,,2
77,77,ICT,H,1,,3
78,78,LAX,BD,2,,3
79,79,LAX,D,9,,1
80,80,LAX,DS,2,,1
81,81,LAX,F,6,,3
82,82,LAX,H,3,,2
83,83,LAX,I,3,,2
84,84,LAX,O,1,,3
85,85,LAX,O,4,,1
86,86,LAX,R,2,,2
87,87,LAX,R,2,,1
88,88,LBB,BD,1,,3
89,89,LBB,BD,2,,2
90,90,LBB,E,4,,3
91,91,MCI,F,2,,4
92,92,MCI,H,3,,5
93,93,MCO,D,3,,4
94,94,MCO,DIP,1,,4
95,95,MCO,ESV,4,,3
96,96,MCO,F,1,,1
97,97,MCO,H,2,,1
98,98,MCO,SB,4,,3
99,99,MEM,BD,1,,3
100,100,MEM,D,4,,3
101,101,MEM,F,1,,4
102,102,MEM,IF,1,,2
103,103,MEM,IF,1,,1
104,104,MSP,BD,2,,1
105,105,MSP,BP,1,,4
106,106,MSP,BP,3,,4
107,107,MSP,D,2,,5
108,108,MSP,D,4,,1
109,109,MSP,F,3,,3
110,110,MSP,H,1,,2
111,111,MSP,O,4,,5
112,112,MSY,D,5,,3
113,113,MSY,E,1,,2
114,114,MSY,E,1,,3
115,115,MSY,F,7,,2
116,116,MSY,I,1,,4
117,117,MSY,IF,5,,1
118,118,ORD,D,2,,2
119,119,ORD,DIP,3,,2
120,120,ORD,E,2,,2
121,121,ORD,E,1,,2
122,122,ORD,E6,5,,5
123,123,ORD,F,6,,1
124,124,ORD,I,2,,5
125,125,ORD,JIS,5,,4
126,126,PDX,D,5,,4
127,127,PDX,R,4,,5
128,128,PDX,SB,5,,4
129,129,SAT,DIP,3,,1
130,130,SAT,E6,3,,2
131,131,SAT,JIS,1,,5
132,132,SAT,O,3,,1
133,133,SAT,SB,5,,5
134,134,SEA,I,1,,3
135,135,SFO,D,8,,3
136,136,SFO,E,3,,3
137,137,SFO,E6,1,,1
138,138,SFO,F,8,,3
139,139,SFO,H,2,,2
140,140,SFO,I,4,,5
141,141,SLC,BD,4,,3
142,142,SLC,D,2,,4
143,143,SLC,D,3,,1
144,144,SLC,DIP,4,,2
145,145,SLC,DS,2,,4
146,146,SLC,E,4,,5
147,147,SLC,ESV,1,,5
148,148,SLC,H,5,,5
149,149,SLC,H,2,,2
150,150,ATL,BD,2,DG,5
151,151,BOS,B,2,CM,5
152,152,BWI,R,2,CM,5
153,153,CMH,E,1,RM,4
154,154,DFW,R,2,ED,5
155,155,DTW,E,4,JL,5
156,156,DTW,BD,2,RV,3
157,157,EWN,O,2,Ma,4
158,158,LAX,DS,4,Da,2
159,159,LAX,BD,2,MG,5
160,160,LAX,O,4,TD,3
161,161,MEM,IF,1,ED,5
162,162,MSY,E,2,GS,3
163,163,SLC,D,4,BM,1
