id,client,cluster,skill,demand,consultant,priority
1,1,ABQ,B,3,,2
2,2,ABQ,BP,2,,5
3,3,ABQ,BP,1,,5
4,4,ABQ,D,6,,2
5,5,ABQ,E,2,,2
6,6,ATL,B,2,,4
7,7,ATL,D,2,,5
8,8,ATL,D,4,,3
9,9,ATL,DIP,1,,1
10,10,ATL,E,3,,3
11,11,ATL,E,3,,5
12,12,ATL,F,7,,1
13,13,ATL,H,2,,3
14,14,ATL,I,1,,3
15,15,ATL,I,2,,2
16,16,ATL,IF,2,,1
17,17,BOS,BD,2,,1
18,18,BOS,D,1,,1
19,19,BOS,E,4,,4
20,20,BOS,F,2,,1
21,21,BOS,F,4,,2
22,22,BOS,H,2,,5
23,23,BOS,IF,1,,2
24,24,BOS,O,4,,2
25,25,BOS,SB,1,,5
26,26,BWI,B,5,,2
27,27,BWI,BD,3,,3
28,28,BWI,D,1,,4
29,29,BWI,D,5,,2
30,30,BWI,E,4,,3
31,31,BWI,ESD,2,,3
32,32,BWI,ESD,2,,2
33,33,BWI,F,1,,1
34,34,BWI,F,1,,5
35,35,BZN,B,2,,5
36,36,BZN,SB,3,,5
37,37,CLT,D,2,,1
38,38,CLT,F,8,,1
39,39,CLT,F,3,,2
40,40,CLT,H,1,,2
41,41,CLT,R,1,,4
42,42,CMH,BD,3,,5
43,43,CMH,D,2,,4
44,44,CMH,DIP,2,,5
45,45,CMH,ESV,3,,2
46,46,CMH,F,2,,3
47,47,CMH,H,2,,3
48,48,CMH,H,1,,4
49,49,CMH,I,1,,4
50,50,CMH,R,1,,3
51,51,DFW,D,5,,5
52,52,DFW,E,1,,1
53,53,DFW,F,6,,5
54,54,DFW,F,3,,2
55,55,DFW,I,2,,3
56,56,DFW,R,5,,4
57,57,DFW,SB,1,,5
58,58,DTW,D,5,,4
59,59,DTW,DIP,1,,5
60,60,DTW,ESV,2,,5
61,61,DTW,F,3,,3
62,62,DTW,I,2,,3
63,63,EWN,DIP,1,,1
64,64,EWN,DS,3,,2
65,65,EWN,E,2,,5
66,66,EWN,ESV,4,,4
67,67,EWN,F,2,,1
68,68,EWN,I,3,,5
69,69,EWN,O,1,,2
70,70,GEG,BD,1,,1
71,71,GEG,D,4,,3
72,72,GEG,DIP,3,,3
73,73,GEG,JIS,2,,1
74,74,GEG,JIS,2,,4
75,75,IAH,BD,4,,4
76,76,IAH,F,5,,1
77,77,IAH,I,5,,2
78,78,ICT,BP,4,,4
79,79,ICT,D,4,,4
80,80,ICT,DIP,1,,3
81,81,ICT,F,3,,1
82,82,ICT,R,5,,2
83,83,LAX,BP,2,,2
84,84,LAX,D,4,,5
85,85,LAX,DIP,2,,4
86,86,LAX,DS,5,,2
87,87,LAX,F,3,,5
88,88,LAX,H,5,,2
89,89,LAX,I,2,,5
90,90,LAX,JIS,4,,5
91,91,LBB,D,3,,1
92,92,MCI,F,4,,2
93,93,MCI,I,2,,4
94,94,MCI,R,5,,2
95,95,MCO,D,2,,4
96,96,MCO,F,4,,2
97,97,MCO,O,4,,2
98,98,MEM,BD,1,,5
99,99,MEM,BD,5,,2
100,100,MEM,D,1,,4
101,101,MEM,DIP,2,,1
102,102,MEM,DIP,1,,4
103,103,MEM,DS,1,,4
104,104,MEM,F,3,,3
105,105,MEM,IF,5,,2
106,106,MSP,B,5,,5
107,107,MSP,BD,3,,5
108,108,MSP,D,5,,2
109,109,MSP,DS,1,,1
110,110,MSP,F,1,,1
111,111,MSY,D,1,,5
112,112,MSY,D,1,,1
113,113,MSY,DIP,1,,5
114,114,MSY,ESD,4,,4
115,115,MSY,ESV,4,,4
116,116,MSY,F,2,,5
117,117,MSY,F,3,,5
118,118,ORD,BP,4,,5
119,119,ORD,D,2,,5
120,120,ORD,E,2,,3
121,121,ORD,F,4,,3
122,122,ORD,H,3,,4
123,123,ORD,H,5,,1
124,124,ORD,I,1,,4
125,125,PDX,E6,3,,1
126,126,PDX,F,4,,3
127,127,PDX,JIS,3,,1
128,128,SAT,B,4,,5
129,129,SAT,BP,2,,4
130,130,SAT,BP,2,,4
131,131,SAT,F,2,,5
132,132,SEA,ESV,1,,1
133,133,SEA,H,2,,4
134,134,SFO,BD,1,,4
135,135,SFO,BP,2,,3
136,136,SFO,D,6,,3
137,137,SFO,D,3,,4
138,138,SFO,DIP,3,,5
139,139,SFO,DS,2,,5
140,140,SFO,DS,5,,4
141,141,SFO,E,2,,5
142,142,SFO,F,2,,2
143,143,SFO,I,1,,2
144,144,SFO,JIS,2,,2
145,145,SFO,R,2,,1
146,146,SLC,D,5,,1
147,147,SLC,ESV,5,,1
148,148,SLC,H,5,,4
149,149,SLC,I,2,,3
150,150,ABQ,E,1,DK,1
151,151,ATL,E,1,GS,5
152,152,ATL,IF,2,GS,3
153,153,BOS,BD,2,RM,2
154,154,BOS,E,5,Ma,4
155,155,BWI,BD,2,PH,2
156,156,DTW,ESV,4,BC,5
157,157,EWN,DS,3,PH,2
158,158,EWN,O,2,Ma,4
159,159,MEM,DS,1,PW,2
160,160,ORD,E,5,BC,2
161,161,SFO,BD,2,MG,2
162,162,SFO,JIS,2,MG,2
163,163,SFO,R,4,MG,2
