name,available,cluster,wage,skill,lb,ub
K1,10,C2,995,"S2,S6,S5,S10,S3,S1,S4,S8",1,4
K2,10,C7,906,"S2,S4,S6,S10,S5,S9,S7,S3",1,5
K3,10,C7,953,"S4,S3,S2,S7,S5,S8,S1,S9",4,5
K4,10,C1,964,"S9,S6,S7,S5,S10,S2,S4,S1",2,5
K5,10,C4,0,"S8,S9,S7,S3,S10,S2,S1,S4",1,2
K6,10,C1,1017,"S1,S3,S8,S4,S7,S10,S6,S5",4,5
K7,10,C2,0,"S3,S7,S10,S4,S2,S5,S6,S1",3,4
K8,10,C2,947,"S5,S8,S7,S3,S4,S2,S1,S10",2,5
K9,10,C6,1030,"S2,S3,S4,S10,S5,S7,S1,S9",1,2
K10,10,C1,0,"S8,S2,S9,S7,S6,S4,S3,S10",4,5
K11,10,C10,950,"S1,S7,S6,S9,S5,S2,S4,S8",3,5
K12,10,C6,0,"S7,S1,S8,S3,S6,S10,S5,S9",2,5
K13,10,C8,1001,"S2,S3,S6,S1,S10,S9,S8,S7",1,3
K14,10,C1,0,"S1,S2,S9,S5,S3,S4,S8,S7",1,4
K15,10,C8,0,"S10,S7,S4,S3,S9,S1,S6,S5",1,5
K16,10,C6,1084,"S5,S8,S9,S4,S1,S3,S10,S7",2,4
K17,10,C9,1032,"S2,S7,S3,S4,S5,S8,S9,S1",3,5
K18,10,C6,0,"S7,S1,S3,S6,S4,S5,S10,S8",1,3
K19,10,C6,905,"S10,S8,S6,S3,S5,S2,S4,S7",1,2
K20,10,C4,0,"S5,S7,S8,S3,S6,S10,S4,S1",1,2
