id,cluster,client,skill,demand,consultant,priority
1,C7,V1,S5,3,,2
2,C8,V2,S5,1,,5
3,C5,V3,S5,1,,4
4,C5,V4,S7,4,,1
5,C1,V5,S7,5,,4
6,C7,V6,S1,6,,1
7,C2,V7,S1,5,,3
8,C9,V8,S3,6,,5
9,C4,V9,S7,6,,2
10,C4,V10,S10,2,,3
11,C1,V11,S1,6,,3
12,C8,V12,S3,5,,3
13,C6,V13,S5,5,,1
14,C4,V14,S3,1,,4
15,C5,V15,S4,6,,2
16,C2,V16,S9,3,,1
17,C3,V17,S4,1,,4
18,C4,V18,S4,2,,3
19,C4,V19,S9,5,,3
20,C4,V20,S3,3,,3
21,C6,V21,S7,1,,2
22,C2,V22,S2,5,,5
23,C8,V23,S5,2,,3
24,C1,V24,S5,1,,5
25,C8,V25,S7,5,,4
26,C7,V26,S4,4,,4
27,C6,V27,S7,1,,4
28,C10,V28,S10,1,,2
29,C6,V29,S8,6,,5
30,C7,V30,S10,4,,2
31,C1,V31,S7,3,,5
32,C9,V32,S3,4,,5
33,C7,V33,S10,4,,1
34,C2,V34,S4,1,,1
35,C2,V35,S5,2,,3
36,C4,V36,S7,4,,5
37,C7,V37,S4,2,,4
38,C6,V38,S5,2,,2
39,C6,V39,S10,1,,5
40,C2,V40,S4,6,,1
41,C5,V41,S6,2,K18,3
42,C8,V42,S5,5,K7,3
43,C6,V43,S1,2,K18,3
44,C3,V44,S5,6,K18,3
