id,cluster,client,skill,demand,consultant,priority
1,C7,V1,S7,1,,4
2,C9,V2,S4,5,,1
3,C9,V3,S8,1,,5
4,C3,V4,S4,2,,4
5,C6,V5,S4,4,,1
6,C7,V6,S7,3,,4
7,C8,V7,S1,5,,1
8,C4,V8,S3,3,,3
9,C4,V9,S9,4,,1
10,C6,V10,S5,5,,1
11,C9,V11,S10,4,,4
12,C10,V12,S4,3,,2
13,C3,V13,S4,2,,5
14,C2,V14,S2,3,,1
15,C4,V15,S8,1,,1
16,C4,V16,S1,3,,3
17,C6,V17,S9,1,,3
18,C4,V18,S7,6,,4
19,C5,V19,S5,4,,4
20,C7,V20,S9,3,,2
21,C8,V21,S6,4,,5
22,C10,V22,S8,1,,4
23,C2,V23,S2,3,,1
24,C7,V24,S4,3,,5
25,C7,V25,S9,2,,2
26,C2,V26,S2,5,,2
27,C6,V27,S9,1,,1
28,C1,V28,S2,6,,1
29,C5,V29,S5,2,,4
30,C5,V30,S6,6,,4
31,C2,V31,S10,5,,4
32,C6,V32,S6,2,,1
33,C4,V33,S9,4,,2
34,C2,V34,S7,1,,5
35,C10,V35,S9,2,,2
36,C8,V36,S3,6,,2
37,C5,V37,S2,2,,2
38,C9,V38,S3,5,,1
39,C1,V39,S9,2,,2
40,C7,V40,S5,5,,2
41,C8,V41,S10,5,,4
42,C6,V42,S5,3,K9,1
43,C8,V43,S10,3,K8,3
44,C7,V44,S3,1,K10,5
45,C9,V45,S3,6,K16,4
46,C10,V46,S3,2,K1,3
