id,cluster,client,skill,demand,consultant,priority
1,C7,V1,S9,1,,3
2,C8,V2,S6,2,,3
3,C1,V3,S2,6,,2
4,C5,V4,S5,3,,3
5,C10,V5,S8,4,,5
6,C3,V6,S1,2,,1
7,C7,V7,S6,3,,1
8,C8,V8,S7,6,,3
9,C3,V9,S2,1,,2
10,C1,V10,S7,3,,3
11,C3,V11,S3,5,,4
12,C3,V12,S9,1,,2
13,C7,V13,S4,5,,3
14,C8,V14,S5,5,,1
15,C8,V15,S3,1,,3
16,C1,V16,S3,5,,1
17,C6,V17,S3,2,,5
18,C9,V18,S7,4,,1
19,C3,V19,S10,6,,2
20,C10,V20,S4,6,,5
21,C4,V21,S6,4,,3
22,C3,V22,S3,2,,3
23,C6,V23,S2,2,,2
24,C1,V24,S7,1,,3
25,C3,V25,S9,3,,2
26,C7,V26,S6,5,,1
27,C9,V27,S10,3,,3
28,C8,V28,S3,1,,5
29,C4,V29,S10,3,,4
30,C7,V30,S2,2,,4
31,C4,V31,S8,2,,5
32,C8,V32,S7,4,,5
33,C3,V33,S4,2,,1
34,C7,V34,S6,1,,2
35,C9,V35,S9,3,,1
36,C10,V36,S1,6,,2
37,C2,V37,S3,1,,5
38,C9,V38,S1,6,,1
39,C6,V39,S1,3,,2
40,C9,V40,S9,1,,2
41,C7,V41,S3,6,,4
42,C5,V42,S7,3,,1
43,C7,V43,S3,3,K3,2
44,C4,V44,S1,4,K9,2
45,C1,V45,S3,2,K3,2
46,C1,V46,S5,6,K4,5
