id,cluster,client,skill,demand,consultant,priority
1,C8,V1,S9,4,,4
2,C22,V2,S14,6,,4
3,C23,V3,S20,5,,3
4,C28,V4,S14,1,,5
5,C17,V5,S2,3,,1
6,C26,V6,S12,4,,1
7,C6,V7,S3,5,,3
8,C15,V8,S23,3,,5
9,C20,V9,S14,4,,2
10,C12,V10,S27,3,,2
11,C17,V11,S28,5,,4
12,C18,V12,S15,3,,5
13,C2,V13,S29,3,,3
14,C28,V14,S9,3,,1
15,C9,V15,S1,6,,2
16,C5,V16,S16,1,,4
17,C18,V17,S28,1,,3
18,C1,V18,S22,3,,5
19,C20,V19,S27,3,,3
20,C19,V20,S4,2,,4
21,C25,V21,S26,3,,4
22,C24,V22,S26,2,,5
23,C23,V23,S7,2,,3
24,C25,V24,S25,4,,5
25,C12,V25,S2,2,,3
26,C25,V26,S8,4,,4
27,C26,V27,S14,2,,3
28,C19,V28,S16,2,,1
29,C3,V29,S1,2,,5
30,C9,V30,S6,6,,3
31,C28,V31,S27,5,,5
32,C5,V32,S3,5,,5
33,C25,V33,S4,5,,5
34,C18,V34,S29,2,,5
35,C30,V35,S26,5,,1
36,C10,V36,S11,4,,3
37,C27,V37,S14,6,,5
38,C5,V38,S22,3,,2
39,C24,V39,S19,3,,4
40,C2,V40,S28,6,,4
41,C26,V41,S28,5,,5
42,C9,V42,S11,4,,3
43,C19,V43,S20,1,,1
44,C17,V44,S22,5,,5
45,C25,V45,S19,3,,3
46,C20,V46,S27,3,,3
47,C30,V47,S26,5,,1
48,C10,V48,S15,4,,3
49,C2,V49,S16,1,,2
50,C28,V50,S14,2,,3
51,C16,V51,S13,3,,3
52,C30,V52,S5,1,,2
53,C18,V53,S7,3,,4
54,C11,V54,S8,3,,2
55,C22,V55,S13,1,,1
56,C21,V56,S30,3,,3
57,C7,V57,S3,3,,4
58,C21,V58,S2,4,,1
59,C15,V59,S19,2,,3
60,C12,V60,S20,6,,2
61,C29,V61,S18,1,,4
62,C16,V62,S2,4,,3
63,C2,V63,S5,1,,1
64,C14,V64,S27,2,,5
65,C11,V65,S30,6,,5
66,C6,V66,S18,3,,1
67,C8,V67,S17,3,,5
68,C17,V68,S8,6,,3
69,C20,V69,S24,4,,4
70,C23,V70,S23,2,,5
71,C4,V71,S11,5,,4
72,C26,V72,S29,3,,1
73,C2,V73,S24,6,,1
74,C12,V74,S30,3,,4
75,C11,V75,S11,6,,5
76,C30,V76,S14,1,,2
77,C14,V77,S19,6,,5
78,C28,V78,S30,5,,1
79,C22,V79,S26,1,K39,4
80,C29,V80,S29,2,K10,2
81,C6,V81,S16,5,K28,3
82,C7,V82,S25,1,K5,4
83,C6,V83,S28,1,K12,3
84,C5,V84,S3,2,K3,4
85,C18,V85,S12,3,K26,4
86,C27,V86,S7,1,K40,3
87,C26,V87,S21,1,K1,3
88,C8,V88,S24,2,K34,3
89,C29,V89,S12,1,K35,1
90,C9,V90,S26,3,K21,3
91,C10,V91,S6,1,K15,5
92,C16,V92,S5,6,K29,2
