id,cluster,client,skill,demand,consultant,priority
1,C10,V1,S1,6,,4
2,C10,V2,S2,6,,4
3,C4,V3,S3,3,,1
4,C9,V4,S2,6,,3
5,C6,V5,S2,6,,1
6,C5,V6,S5,5,,1
7,C7,V7,S1,5,,3
8,C4,V8,S2,4,,2
9,C5,V9,S4,5,,3
10,C2,V10,S8,6,,5
11,C2,V11,S7,1,,3
12,C1,V12,S1,2,,2
13,C7,V13,S9,1,,1
14,C8,V14,S6,3,,2
15,C1,V15,S9,1,,1
16,C7,V16,S3,3,,1
17,C3,V17,S8,6,,5
18,C9,V18,S7,3,,4
19,C2,V19,S6,1,,3
20,C10,V20,S8,3,,1
21,C10,V21,S8,5,,1
22,C9,V22,S4,6,,4
23,C6,V23,S1,4,,3
24,C7,V24,S2,2,,5
25,C7,V25,S2,1,,3
26,C6,V26,S10,1,,2
27,C2,V27,S4,2,,4
28,C5,V28,S9,4,,4
29,C6,V29,S3,2,,5
30,C4,V30,S1,4,,5
31,C10,V31,S8,2,,2
32,C4,V32,S7,3,,3
33,C8,V33,S9,3,,3
34,C3,V34,S1,2,,4
35,C4,V35,S1,6,,1
36,C7,V36,S2,2,,3
37,C4,V37,S9,4,,3
38,C4,V38,S9,6,,2
39,C2,V39,S8,2,K16,3
40,C10,V40,S9,4,K2,4
41,C1,V41,S2,4,K20,3
42,C8,V42,S6,5,K12,2
