id,cluster,client,skill,demand,consultant,priority
1,C28,V1,S30,5,,1
2,C23,V2,S12,4,,3
3,C11,V3,S4,2,,1
4,C18,V4,S7,3,,5
5,C28,V5,S1,1,,3
6,C24,V6,S18,5,,4
7,C8,V7,S10,5,,2
8,C11,V8,S2,6,,1
9,C12,V9,S18,3,,3
10,C18,V10,S23,5,,2
11,C2,V11,S30,5,,4
12,C13,V12,S1,2,,5
13,C22,V13,S12,4,,3
14,C22,V14,S12,4,,5
15,C20,V15,S7,5,,1
16,C26,V16,S1,2,,3
17,C16,V17,S11,5,,5
18,C22,V18,S24,1,,2
19,C28,V19,S4,5,,1
20,C14,V20,S1,6,,2
21,C18,V21,S28,3,,4
22,C25,V22,S11,2,,3
23,C14,V23,S11,3,,1
24,C13,V24,S10,1,,2
25,C9,V25,S2,6,,4
26,C27,V26,S4,4,,1
27,C6,V27,S23,2,,4
28,C30,V28,S15,6,,4
29,C25,V29,S8,4,,2
30,C5,V30,S6,1,,5
31,C13,V31,S16,4,,2
32,C28,V32,S15,2,,5
33,C25,V33,S21,2,,1
34,C2,V34,S8,4,,3
35,C17,V35,S23,5,,5
36,C12,V36,S10,3,,5
37,C16,V37,S15,4,,4
38,C27,V38,S2,3,,1
39,C4,V39,S18,6,,3
40,C9,V40,S14,2,,3
41,C18,V41,S26,5,,3
42,C11,V42,S1,5,,2
43,C10,V43,S19,3,,5
44,C20,V44,S6,4,,2
45,C6,V45,S12,2,,1
46,C11,V46,S16,3,,2
47,C3,V47,S18,1,,4
48,C3,V48,S16,1,,3
49,C3,V49,S10,4,,3
50,C30,V50,S19,1,,5
51,C5,V51,S18,4,,2
52,C10,V52,S23,5,,1
53,C26,V53,S15,2,,4
54,C11,V54,S9,5,,1
55,C19,V55,S7,6,,2
56,C10,V56,S18,3,,4
57,C30,V57,S18,2,,5
58,C29,V58,S12,1,,1
59,C14,V59,S20,5,,3
60,C1,V60,S17,5,,4
61,C28,V61,S29,3,,3
62,C29,V62,S30,5,,4
63,C24,V63,S6,5,,4
64,C8,V64,S30,3,,3
65,C2,V65,S6,6,,3
66,C24,V66,S29,6,,2
67,C27,V67,S18,2,,1
68,C22,V68,S2,1,,3
69,C22,V69,S19,4,,1
70,C17,V70,S28,2,,5
71,C2,V71,S17,5,,1
72,C16,V72,S17,5,,4
73,C4,V73,S20,1,,5
74,C28,V74,S13,6,,3
75,C26,V75,S6,2,,1
76,C5,V76,S14,2,,1
77,C8,V77,S19,4,,2
78,C11,V78,S6,2,,2
79,C25,V79,S19,1,,4
80,C22,V80,S12,2,,3
81,C15,V81,S5,5,,2
82,C5,V82,S3,4,,2
83,C7,V83,S23,2,,5
84,C15,V84,S18,5,,1
85,C16,V85,S7,5,,3
86,C26,V86,S12,6,,1
87,C30,V87,S14,4,,4
88,C19,V88,S11,6,,5
89,C6,V89,S20,2,,2
90,C12,V90,S17,5,,1
91,C2,V91,S4,6,,2
92,C12,V92,S29,1,,3
93,C2,V93,S13,2,,2
94,C14,V94,S20,1,,5
95,C17,V95,S6,1,,2
96,C13,V96,S15,4,,4
97,C4,V97,S24,1,,4
98,C26,V98,S26,6,,3
99,C21,V99,S30,3,,2
100,C18,V100,S13,1,,5
101,C30,V101,S14,3,,1
102,C2,V102,S7,1,,4
103,C26,V103,S20,6,,1
104,C25,V104,S16,4,,1
105,C17,V105,S11,6,,4
106,C13,V106,S4,4,,2
107,C2,V107,S15,2,,2
108,C2,V108,S2,5,,1
109,C14,V109,S3,1,,1
110,C26,V110,S25,4,,4
111,C28,V111,S29,6,,1
112,C17,V112,S2,4,,5
113,C1,V113,S18,1,,3
114,C26,V114,S9,4,,1
115,C6,V115,S21,2,,1
116,C24,V116,S23,5,,3
117,C11,V117,S13,4,,2
118,C24,V118,S12,6,,3
119,C18,V119,S23,3,,5
120,C15,V120,S21,1,,4
121,C26,V121,S27,1,,4
122,C23,V122,S15,6,,4
123,C4,V123,S21,4,,5
124,C1,V124,S2,2,,2
125,C18,V125,S3,5,,5
126,C30,V126,S16,6,,2
127,C7,V127,S30,5,,3
128,C2,V128,S12,3,K29,1
129,C28,V129,S14,4,K21,3
130,C5,V130,S16,3,K54,5
131,C20,V131,S18,1,K4,3
132,C26,V132,S6,3,K5,3
133,C1,V133,S19,1,K21,3
134,C24,V134,S29,6,K17,5
135,C22,V135,S10,5,K19,4
136,C20,V136,S11,6,K11,2
137,C9,V137,S23,3,K5,3
138,C29,V138,S15,6,K20,3
139,C11,V139,S4,4,K36,3
140,C6,V140,S16,5,K50,2
