id,cluster,client,skill,demand,consultant,priority
1,C3,V1,S18,2,,1
2,C43,V2,S12,1,,4
3,C37,V3,S25,3,,1
4,C46,V4,S9,4,,3
5,C31,V5,S4,4,,3
6,C23,V6,S32,3,,5
7,C17,V7,S6,1,,4
8,C45,V8,S20,1,,2
9,C40,V9,S15,5,,4
10,C23,V10,S25,1,,2
11,C27,V11,S6,4,,5
12,C25,V12,S2,2,,5
13,C20,V13,S37,4,,4
14,C38,V14,S48,1,,4
15,C31,V15,S12,5,,4
16,C16,V16,S39,1,,1
17,C37,V17,S24,5,,5
18,C19,V18,S23,1,,3
19,C1,V19,S13,6,,4
20,C14,V20,S14,3,,2
21,C18,V21,S27,1,,1
22,C18,V22,S27,5,,4
23,C35,V23,S10,3,,5
24,C38,V24,S14,4,,3
25,C19,V25,S6,3,,4
26,C18,V26,S21,5,,5
27,C9,V27,S42,2,,4
28,C39,V28,S36,6,,2
29,C38,V29,S19,5,,5
30,C16,V30,S37,5,,3
31,C27,V31,S23,4,,1
32,C34,V32,S10,1,,3
33,C41,V33,S14,3,,2
34,C25,V34,S30,4,,3
35,C42,V35,S34,6,,3
36,C3,V36,S14,1,,5
37,C32,V37,S46,5,,4
38,C27,V38,S9,1,,4
39,C43,V39,S32,4,,2
40,C30,V40,S5,6,,4
41,C17,V41,S50,2,,3
42,C39,V42,S6,2,,2
43,C18,V43,S7,4,,5
44,C20,V44,S10,1,,3
45,C35,V45,S37,3,,3
46,C50,V46,S45,3,,1
47,C16,V47,S29,5,,1
48,C12,V48,S27,5,,2
49,C35,V49,S18,2,,4
50,C17,V50,S48,3,,3
51,C7,V51,S50,3,,2
52,C26,V52,S46,3,,1
53,C49,V53,S5,2,,3
54,C45,V54,S22,1,,2
55,C49,V55,S47,5,,2
56,C45,V56,S44,4,,2
57,C35,V57,S47,4,,5
58,C28,V58,S10,4,,4
59,C6,V59,S7,2,,5
60,C47,V60,S38,6,,3
61,C20,V61,S12,3,,3
62,C44,V62,S9,4,,4
63,C40,V63,S15,1,,5
64,C2,V64,S44,6,,2
65,C21,V65,S45,1,,4
66,C11,V66,S11,3,,4
67,C21,V67,S12,5,,2
68,C41,V68,S9,3,,5
69,C47,V69,S48,5,,5
70,C27,V70,S3,1,,1
71,C17,V71,S30,1,,2
72,C31,V72,S25,3,,2
73,C46,V73,S43,2,,3
74,C39,V74,S48,6,,4
75,C35,V75,S36,3,,2
76,C23,V76,S12,2,,2
77,C27,V77,S8,6,,3
78,C34,V78,S34,4,,5
79,C25,V79,S15,5,,5
80,C34,V80,S38,3,,3
81,C14,V81,S41,3,,1
