airport_from,airport_to,cost,distance
C1,C1,0.0,0.0
C1,C2,76.6,76.6
C1,C3,47.0,47.0
C1,C4,68.1,68.1
C1,C5,82.3,82.3
C1,C6,86.6,86.6
C1,C7,108.0,108.0
C1,C8,67.1,67.1
C1,C9,111.2,111.2
C1,C10,26.1,26.1
C1,C11,51.5,51.5
C1,C12,123.2,123.2
C1,C13,102.5,102.5
C1,C14,18.4,18.4
C1,C15,80.8,80.8
C1,C16,90.0,90.0
C1,C17,56.9,56.9
C1,C18,69.9,69.9
C1,C19,122.0,122.0
C1,C20,73.1,73.1
C1,C21,63.0,63.0
C1,C22,81.4,81.4
C1,C23,52.3,52.3
C1,C24,110.3,110.3
C1,C25,53.7,53.7
C1,C26,76.3,76.3
C1,C27,75.7,75.7
C1,C28,90.8,90.8
C1,C29,101.8,101.8
C1,C30,60.0,60.0
C2,C1,76.6,76.6
C2,C2,0.0,0.0
C2,C3,39.2,39.2
C2,C4,42.4,42.4
C2,C5,41.0,41.0
C2,C6,32.6,32.6
C2,C7,31.4,31.4
C2,C8,42.3,42.3
C2,C9,39.8,39.8
C2,C10,66.8,66.8
C2,C11,53.2,53.2
C2,C12,46.8,46.8
C2,C13,51.6,51.6
C2,C14,58.4,58.4
C2,C15,52.6,52.6
C2,C16,28.2,28.2
C2,C17,44.9,44.9
C2,C18,17.1,17.1
C2,C19,45.5,45.5
C2,C20,42.4,42.4
C2,C21,44.0,44.0
C2,C22,10.2,10.2
C2,C23,26.2,26.2
C2,C24,36.2,36.2
C2,C25,25.2,25.2
C2,C26,29.7,29.7
C2,C27,31.4,31.4
C2,C28,20.9,20.9
C2,C29,40.4,40.4
C2,C30,46.0,46.0
C3,C1,47.0,47.0
C3,C2,39.2,39.2
C3,C3,0.0,0.0
C3,C4,58.9,58.9
C3,C5,35.7,35.7
C3,C6,64.2,64.2
C3,C7,68.0,68.0
C3,C8,58.1,58.1
C3,C9,66.1,66.1
C3,C10,29.2,29.2
C3,C11,55.6,55.6
C3,C12,81.9,81.9
C3,C13,55.7,55.7
C3,C14,32.8,32.8
C3,C15,37.1,37.1
C3,C16,43.8,43.8
C3,C17,13.9,13.9
C3,C18,43.0,43.0
C3,C19,81.0,81.0
C3,C20,62.2,62.2
C3,C21,56.6,56.6
C3,C22,39.6,39.6
C3,C23,14.6,14.6
C3,C24,66.6,66.6
C3,C25,30.2,30.2
C3,C26,29.4,29.4
C3,C27,56.8,56.8
C3,C28,59.0,59.0
C3,C29,55.0,55.0
C3,C30,56.0,56.0
C4,C1,68.1,68.1
C4,C2,42.4,42.4
C4,C3,58.9,58.9
C4,C4,0.0,0.0
C4,C5,79.6,79.6
C4,C6,24.1,24.1
C4,C7,63.9,63.9
C4,C8,1.0,1.0
C4,C9,80.2,80.2
C4,C10,73.7,73.7
C4,C11,19.7,19.7
C4,C12,78.5,78.5
C4,C13,93.4,93.4
C4,C14,52.3,52.3
C4,C15,88.5,88.5
C4,C16,70.4,70.4
C4,C17,71.4,71.4
C4,C18,25.3,25.3
C4,C19,76.7,76.7
C4,C20,5.1,5.1
C4,C21,5.4,5.4
C4,C22,52.6,52.6
C4,C23,46.0,46.0
C4,C24,74.8,74.8
C4,C25,29.0,29.0
C4,C26,68.0,68.0
C4,C27,14.3,14.3
C4,C28,38.6,38.6
C4,C29,82.9,82.9
C4,C30,8.9,8.9
C5,C1,82.3,82.3
C5,C2,41.0,41.0
C5,C3,35.7,35.7
C5,C4,79.6,79.6
C5,C5,0.0,0.0
C5,C6,73.6,73.6
C5,C7,54.1,54.1
C5,C8,79.2,79.2
C5,C9,40.8,40.8
C5,C10,60.8,60.8
C5,C11,83.7,83.7
C5,C12,63.0,63.0
C5,C13,20.1,20.1
C5,C14,68.4,68.4
C5,C15,13.3,13.3
C5,C16,20.2,20.2
C5,C17,26.4,26.4
C5,C18,55.8,55.8
C5,C19,63.0,63.0
