name,available,cluster,wage,skill,lb,ub
K1,10,C17,0,"S8,S27,S24,S25,S18,S10,S11,S26,S3,S2,S17,S9,S16,S12,S28,S15,S22,S29,S7,S23,S1,S13,S4,S6",1,5
K2,10,C20,0,"S28,S17,S16,S2,S8,S21,S18,S6,S13,S5,S20,S12,S22,S9,S14,S30,S19,S11,S26,S27,S1,S15,S3,S25",1,2
K3,10,C29,0,"S23,S15,S5,S11,S21,S8,S12,S20,S6,S26,S29,S19,S7,S10,S1,S25,S24,S9,S3,S18,S16,S2,S28,S30",1,5
K4,10,C22,0,"S5,S12,S16,S11,S25,S3,S7,S15,S29,S10,S14,S19,S28,S1,S9,S13,S30,S20,S18,S4,S23,S17,S22,S8",3,4
K5,10,C21,0,"S20,S3,S14,S18,S27,S10,S16,S12,S7,S29,S22,S4,S15,S8,S9,S30,S25,S28,S11,S23,S13,S21,S5,S24",1,3
K6,10,C24,913,"S9,S20,S18,S16,S14,S7,S4,S19,S28,S13,S25,S11,S21,S27,S8,S3,S6,S22,S17,S26,S5,S12,S23,S24",2,5
K7,10,C24,0,"S1,S9,S11,S24,S22,S3,S10,S23,S14,S2,S30,S20,S5,S6,S12,S21,S16,S7,S28,S4,S15,S13,S17,S18",3,5
K8,10,C25,0,"S19,S28,S23,S14,S11,S21,S18,S30,S12,S4,S10,S13,S7,S1,S22,S8,S5,S20,S24,S6,S26,S27,S3,S17",1,2
K9,10,C23,0,"S14,S23,S27,S26,S28,S2,S5,S4,S7,S24,S21,S16,S19,S1,S17,S9,S20,S22,S11,S8,S15,S29,S12,S25",2,4
K10,10,C26,0,"S17,S14,S30,S15,S25,S22,S8,S10,S18,S23,S21,S11,S9,S16,S3,S19,S4,S20,S27,S12,S26,S24,S29,S1",2,3
K11,10,C15,940,"S9,S18,S16,S1,S6,S28,S12,S21,S10,S30,S26,S17,S4,S29,S15,S5,S22,S23,S11,S19,S3,S7,S14,S8",2,4
K12,10,C6,0,"S28,S22,S8,S14,S12,S9,S17,S21,S6,S27,S4,S11,S18,S5,S1,S13,S30,S29,S23,S25,S2,S10,S16,S15",1,3
K13,10,C9,0,"S22,S21,S8,S17,S25,S11,S16,S26,S2,S23,S19,S18,S24,S4,S13,S12,S30,S9,S3,S6,S29,S10,S14,S1",1,3
K14,10,C28,0,"S7,S17,S20,S19,S29,S28,S14,S6,S11,S10,S26,S1,S23,S22,S15,S3,S25,S18,S13,S24,S30,S27,S12,S8",2,5
K15,10,C30,0,"S3,S28,S23,S22,S25,S18,S7,S30,S6,S8,S20,S10,S14,S4,S1,S2,S16,S15,S27,S19,S24,S11,S21,S9",3,4
K16,10,C16,0,"S14,S20,S27,S6,S28,S22,S17,S18,S24,S30,S1,S10,S15,S13,S11,S12,S3,S29,S23,S26,S16,S19,S4,S7",1,3
K17,10,C14,0,"S10,S8,S7,S27,S13,S28,S6,S21,S4,S5,S24,S3,S14,S9,S19,S25,S15,S26,S18,S22,S20,S2,S12,S1",1,3
K18,10,C24,1047,"S7,S2,S19,S5,S13,S4,S30,S22,S1,S23,S20,S18,S26,S11,S9,S27,S28,S10,S25,S24,S21,S3,S8,S15",1,3
K19,10,C13,1013,"S10,S21,S30,S28,S15,S25,S18,S12,S11,S6,S13,S16,S3,S8,S22,S19,S29,S17,S4,S5,S7,S14,S1,S23",1,2
K20,10,C26,0,"S9,S13,S29,S23,S3,S28,S2,S7,S16,S11,S22,S26,S1,S21,S10,S15,S20,S14,S8,S19,S6,S25,S24,S4",1,4
