id,client,cluster,skill,demand,consultant,priority
1,1,ABQ,D,8,,1
2,2,ABQ,DIP,6,,5
3,3,ABQ,ESV,1,,5
4,4,ABQ,H,2,,1
5,5,ABQ,JIS,3,,4
6,6,ATL,BD,2,,1
7,7,ATL,DS,5,,3
8,8,ATL,DS,2,,5
9,9,ATL,DS,4,,5
10,10,ATL,F,8,,1
11,11,ATL,H,1,,1
12,12,ATL,JIS,2,,3
13,13,ATL,SB,3,,1
14,14,BOS,DIP,1,,1
15,15,BOS,E6,3,,5
16,16,BOS,F,6,,4
17,17,BOS,R,2,,2
18,18,BWI,D,1,,5
19,19,BWI,DIP,3,,1
20,20,BWI,DIP,1,,4
21,21,BWI,E,3,,2
22,22,BWI,F,2,,1
23,23,BWI,H,2,,1
24,24,BWI,I,3,,3
25,25,BZN,BD,1,,5
26,26,BZN,BP,2,,5
27,27,BZN,DS,1,,2
28,28,BZN,SB,4,,5
29,29,CLT,B,4,,1
30,30,CLT,D,3,,3
31,31,CLT,DS,4,,4
32,32,CLT,E,2,,5
33,33,CLT,F,5,,1
34,34,CLT,O,2,,1
35,35,CLT,SB,3,,5
36,36,CMH,DIP,3,,2
37,37,CMH,DS,2,,5
38,38,CMH,E,1,,2
39,39,CMH,F,4,,3
40,40,CMH,H,2,,4
41,41,CMH,R,1,,1
42,42,CMH,R,2,,5
43,43,DFW,B,5,,5
44,44,DFW,B,3,,2
45,45,DFW,B,4,,4
46,46,DFW,BD,1,,4
47,47,DFW,DIP,2,,3
48,48,DFW,E,2,,3
49,49,DFW,F,7,,3
50,50,DFW,I,3,,3
51,51,DFW,R,2,,2
52,52,DFW,R,2,,2
53,53,DFW,R,2,,3
54,54,DFW,SB,3,,4
55,55,DTW,D,8,,1
56,56,DTW,DS,5,,1
57,57,DTW,E,3,,3
58,58,DTW,E6,3,,5
59,59,DTW,F,2,,2
60,60,DTW,H,1,,4
61,61,DTW,JIS,4,,4
62,62,EWN,E6,5,,1
63,63,EWN,F,8,,3
64,64,EWN,H,7,,2
65,65,EWN,I,2,,2
66,66,EWN,R,3,,3
67,67,EWN,SB,4,,3
68,68,GEG,IF,5,,5
69,69,GEG,JIS,4,,4
70,70,GEG,SB,4,,4
71,71,IAH,BD,1,,2
72,72,IAH,BD,2,,2
73,73,IAH,E,2,,2
74,74,IAH,ESV,3,,3
75,75,IAH,F,1,,4
76,76,IAH,H,2,,4
77,77,IAH,O,4,,3
78,78,ICT,D,2,,3
79,79,ICT,DIP,1,,3
80,80,ICT,F,3,,1
81,81,ICT,H,1,,1
82,82,ICT,I,2,,3
83,83,LAX,B,2,,5
84,84,LAX,D,5,,5
85,85,LAX,F,8,,5
86,86,LAX,H,5,,4
87,87,LAX,I,2,,2
88,88,LAX,I,4,,5
89,89,LAX,IF,3,,5
90,90,LAX,R,2,,3
91,91,LAX,R,2,,1
92,92,LBB,B,3,,3
93,93,LBB,BD,5,,2
94,94,LBB,ESD,4,,5
95,95,LBB,F,3,,1
96,96,LBB,JIS,1,,2
97,97,LBB,SB,3,,2
98,98,LBB,SB,5,,5
99,99,MCI,BP,1,,3
100,100,MCI,E6,1,,2
101,101,MCI,E6,2,,4
102,102,MCI,F,2,,4
103,103,MCI,I,2,,4
104,104,MCI,R,2,,5
105,105,MCO,B,1,,3
106,106,MCO,B,3,,3
107,107,MCO,BP,1,,2
108,108,MCO,DIP,4,,2
109,109,MCO,E,5,,3
110,110,MCO,ESD,5,,2
111,111,MCO,F,2,,5
112,112,MCO,O,3,,2
113,113,MEM,BD,5,,2
114,114,MEM,F,4,,2
115,115,MEM,F,4,,1
116,116,MEM,F,3,,4
117,117,MEM,SB,2,,3
118,118,MSP,BP,5,,1
119,119,MSP,D,3,,1
120,120,MSP,DIP,1,,3
121,121,MSP,IF,1,,1
122,122,MSY,E,5,,1
123,123,MSY,ESD,5,,5
124,124,MSY,F,1,,2
125,125,ORD,ESV,2,,1
126,126,ORD,ESV,1,,5
127,127,ORD,F,8,,2
128,128,ORD,H,3,,2
129,129,ORD,SB,2,,3
130,130,ORD,SB,1,,2
131,131,PDX,DIP,3,,4
132,132,SAT,E6,2,,1
133,133,SAT,R,1,,4
134,134,SEA,D,3,,5
135,135,SEA,D,2,,1
136,136,SEA,DIP,1,,4
137,137,SEA,ESD,1,,5
138,138,SEA,ESV,1,,1
139,139,SEA,H,5,,4
140,140,SFO,BD,3,,4
141,141,SFO,F,8,,4
142,142,SFO,H,1,,3
143,143,SFO,H,3,,4
144,144,SFO,I,1,,5
145,145,SFO,O,3,,2
146,146,SFO,O,2,,3
147,147,SFO,SB,5,,5
148,148,SLC,DS,4,,2
149,149,SLC,F,3,,3
150,150,SLC,H,3,,2
151,151,SLC,I,2,,5
152,152,SLC,I,3,,4
153,153,SLC,IF,2,,4
154,154,ATL,SB,2,GS,3
155,155,BOS,R,2,PH,2
156,156,CLT,B,2,GS,3
157,157,CLT,E,1,GS,5
158,158,CMH,E,1,Dw,3
159,159,CMH,SB,4,Dw,1
160,160,CMH,DS,2,PH,4
161,161,DFW,E,1,ED,3
162,162,DTW,E6,2,Dw,3
163,163,DTW,SB,2,PW,2
164,164,MCO,B,2,MK,5
165,165,MEM,SB,2,ED,3
166,166,MEM,SB,2,GS,5
167,167,SLC,IF,1,DK,4
