id,client,cluster,skill,demand,consultant,priority
1,1,ABQ,DS,1,,5
2,2,ABQ,F,4,,1
3,3,ATL,BD,2,,4
4,4,ATL,BD,2,,1
5,5,ATL,BP,2,,5
6,6,ATL,BP,1,,1
7,7,ATL,D,3,,5
8,8,ATL,DS,1,,3
9,9,ATL,DS,2,,5
10,10,ATL,E6,2,,3
11,11,ATL,ESV,2,,5
12,12,ATL,ESV,5,,4
13,13,ATL,F,2,,4
14,14,ATL,H,5,,5
15,15,ATL,I,4,,3
16,16,ATL,IF,2,,4
17,17,ATL,JIS,3,,4
18,18,BOS,BP,2,,3
19,19,BOS,D,2,,1
20,20,BOS,E6,3,,2
21,21,BOS,F,2,,3
22,22,BOS,H,2,,2
23,23,BOS,I,1,,3
24,24,BWI,B,5,,3
25,25,BWI,BD,2,,5
26,26,BWI,ESV,1,,2
27,27,BWI,F,2,,4
28,28,BWI,H,3,,5
29,29,BZN,D,4,,3
30,30,CLT,BP,3,,3
31,31,CLT,D,1,,2
32,32,CLT,F,1,,1
33,33,CLT,H,2,,4
34,34,CLT,JIS,5,,5
35,35,CMH,D,4,,4
36,36,CMH,DIP,1,,3
37,37,CMH,E,5,,4
38,38,CMH,E6,2,,1
39,39,CMH,ESV,2,,4
40,40,CMH,F,6,,4
41,41,CMH,H,4,,3
42,42,CMH,H,4,,5
43,43,CMH,IF,1,,2
44,44,CMH,R,1,,2
45,45,DFW,B,2,,4
46,46,DFW,E,1,,2
47,47,DFW,F,2,,1
48,48,DFW,H,2,,5
49,49,DFW,I,1,,5
50,50,DFW,R,2,,4
51,51,DTW,BP,1,,5
52,52,DTW,D,3,,1
53,53,DTW,E6,4,,1
54,54,DTW,ESD,4,,4
55,55,DTW,F,4,,3
56,56,DTW,H,2,,2
57,57,DTW,I,2,,5
58,58,DTW,I,3,,2
59,59,DTW,JIS,2,,1
60,60,EWN,D,5,,4
61,61,EWN,E,4,,1
62,62,EWN,F,2,,2
63,63,EWN,H,1,,3
64,64,EWN,O,1,,1
65,65,GEG,E6,5,,1
66,66,GEG,F,3,,5
67,67,GEG,JIS,2,,1
68,68,GEG,R,1,,4
69,69,IAH,E,5,,1
70,70,IAH,ESV,1,,2
71,71,IAH,F,5,,1
72,72,IAH,I,2,,4
73,73,IAH,JIS,5,,4
74,74,IAH,O,1,,5
75,75,ICT,E6,2,,4
76,76,ICT,E6,4,,5
77,77,ICT,F,5,,3
78,78,LAX,BD,2,,5
79,79,LAX,BD,3,,5
80,80,LAX,BP,2,,4
81,81,LAX,D,4,,2
82,82,LAX,E6,1,,3
83,83,LAX,E6,2,,3
84,84,LAX,ESV,5,,3
85,85,LAX,F,6,,4
86,86,LAX,F,2,,1
87,87,LAX,H,1,,4
88,88,LAX,IF,2,,3
89,89,LAX,IF,1,,3
90,90,LAX,R,2,,3
91,91,LAX,R,2,,3
92,92,LAX,R,2,,4
93,93,LAX,SB,4,,3
94,94,LBB,F,3,,1
95,95,LBB,I,4,,2
96,96,MCI,BP,2,,4
97,97,MCI,D,2,,4
98,98,MCI,E,1,,1
99,99,MCI,F,3,,1
100,100,MCI,IF,2,,3
101,101,MCI,JIS,1,,2
102,102,MCI,JIS,2,,3
103,103,MCI,SB,1,,1
104,104,MCO,D,6,,3
105,105,MCO,E6,2,,5
106,106,MCO,ESV,1,,5
107,107,MCO,ESV,2,,5
108,108,MCO,F,3,,4
109,109,MEM,BP,4,,3
110,110,MEM,DS,1,,4
111,111,MEM,F,2,,1
112,112,MEM,IF,1,,3
113,113,MEM,JIS,1,,2
114,114,MEM,O,2,,3
115,115,MSP,BD,3,,2
116,116,MSP,D,2,,1
117,117,MSP,DIP,1,,2
118,118,MSP,ESD,2,,5
119,119,MSP,F,2,,4
120,120,MSY,BP,1,,3
121,121,MSY,E6,2,,5
122,122,MSY,F,3,,4
123,123,MSY,H,1,,2
124,124,MSY,IF,1,,1
125,125,ORD,D,4,,1
126,126,ORD,DS,2,,3
127,127,ORD,E6,1,,3
128,128,ORD,ESV,2,,2
129,129,ORD,F,5,,2
130,130,ORD,H,2,,5
131,131,ORD,R,3,,4
132,132,ORD,SB,3,,4
133,133,PDX,BP,5,,2
134,134,PDX,IF,2,,4
135,135,PDX,IF,4,,5
136,136,PDX,IF,4,,3
137,137,SAT,JIS,3,,2
138,138,SAT,O,4,,2
139,139,SEA,DS,3,,3
140,140,SEA,ESD,5,,2
141,141,SEA,ESV,1,,2
142,142,SEA,ESV,2,,1
143,143,SEA,H,4,,5
144,144,SEA,SB,2,,2
145,145,SEA,SB,4,,2
146,146,SFO,B,2,,3
147,147,SFO,B,2,,3
148,148,SFO,B,1,,2
149,149,SFO,BP,2,,3
150,150,SFO,D,2,,1
151,151,SFO,DS,2,,1
152,152,SFO,E,4,,1
153,153,SFO,F,8,,4
154,154,SFO,O,2,,4
155,155,SFO,R,2,,4
156,156,SLC,D,4,,1
157,157,SLC,D,2,,3
158,158,SLC,IF,5,,1
159,159,ATL,E6,1,GS,3
160,160,BOS,E6,1,PH,4
161,161,CMH,E6,3,RM,4
162,162,DFW,B,2,MK,2
163,163,EWN,O,2,PH,2
164,164,IAH,O,2,JV,4
165,165,ICT,E6,4,ED,5
166,166,LAX,BD,2,MG,2
167,167,MSY,E6,2,GS,3
168,168,SFO,O,2,JV,4
169,169,SFO,DS,6,MG,5
