id,cluster,client,skill,demand,consultant,priority
1,C12,V1,S49,3,,3
2,C33,V2,S42,3,,2
3,C24,V3,S10,6,,5
4,C44,V4,S9,6,,4
5,C47,V5,S10,3,,4
6,C46,V6,S29,5,,3
7,C33,V7,S42,6,,5
8,C30,V8,S2,4,,5
9,C50,V9,S23,4,,1
10,C49,V10,S10,2,,1
11,C8,V11,S31,6,,3
12,C11,V12,S20,4,,2
13,C37,V13,S32,1,,2
14,C12,V14,S46,2,,4
15,C31,V15,S33,5,,4
16,C30,V16,S7,3,,1
17,C1,V17,S11,2,,5
18,C32,V18,S5,3,,2
19,C16,V19,S13,6,,3
20,C31,V20,S1,6,,1
21,C49,V21,S37,6,,2
22,C46,V22,S46,1,,3
23,C33,V23,S27,4,,3
24,C14,V24,S48,3,,2
25,C15,V25,S36,4,,3
26,C20,V26,S1,4,,5
27,C41,V27,S9,5,,4
28,C49,V28,S6,1,,4
29,C17,V29,S23,3,,2
30,C37,V30,S46,2,,1
31,C25,V31,S5,1,,3
32,C18,V32,S1,5,,1
33,C2,V33,S15,1,,2
34,C45,V34,S9,2,,4
35,C34,V35,S43,4,,2
36,C30,V36,S24,4,,2
37,C37,V37,S1,3,,5
38,C31,V38,S15,6,,5
39,C1,V39,S22,2,,5
40,C48,V40,S46,2,,1
41,C25,V41,S32,6,,2
42,C9,V42,S43,1,,3
43,C36,V43,S15,2,,4
44,C20,V44,S38,1,,4
45,C14,V45,S8,1,,2
46,C47,V46,S16,5,,4
47,C35,V47,S38,2,,4
48,C25,V48,S40,2,,3
49,C38,V49,S36,4,,2
50,C50,V50,S44,1,,4
51,C36,V51,S6,6,,1
52,C13,V52,S2,5,,2
53,C38,V53,S14,6,,4
54,C48,V54,S34,4,,1
55,C22,V55,S17,3,,3
56,C34,V56,S15,3,,4
57,C19,V57,S29,1,,3
58,C47,V58,S47,5,,1
59,C32,V59,S41,3,,5
60,C45,V60,S3,1,,5
61,C12,V61,S17,1,,3
62,C23,V62,S28,3,,5
63,C21,V63,S15,3,,5
64,C46,V64,S37,3,,2
65,C37,V65,S30,2,,2
66,C10,V66,S16,1,,4
67,C10,V67,S49,3,,2
68,C27,V68,S9,2,,4
69,C35,V69,S19,3,,3
70,C15,V70,S7,4,,1
71,C35,V71,S6,5,,3
72,C45,V72,S14,6,,4
73,C24,V73,S38,4,,2
74,C4,V74,S33,6,,1
75,C39,V75,S26,4,,1
76,C3,V76,S45,2,,4
77,C33,V77,S49,5,,4
78,C22,V78,S44,2,,2
79,C39,V79,S23,6,,2
80,C4,V80,S10,3,,1
81,C28,V81,S47,6,,1
82,C3,V82,S36,5,,1
83,C9,V83,S47,5,,4
84,C19,V84,S47,6,,2
85,C21,V85,S40,5,,2
86,C9,V86,S39,3,,4
87,C26,V87,S2,1,,3
88,C12,V88,S29,2,,3
89,C42,V89,S26,5,,2
90,C11,V90,S49,5,,2
91,C15,V91,S39,6,,1
92,C45,V92,S44,6,,5
93,C19,V93,S45,4,,5
94,C36,V94,S32,5,,3
95,C39,V95,S24,1,,5
96,C15,V96,S19,2,,1
97,C48,V97,S2,4,,5
98,C21,V98,S43,2,,1
99,C48,V99,S38,1,,4
100,C14,V100,S8,1,,1
101,C4,V101,S46,2,,3
102,C7,V102,S12,2,,2
103,C18,V103,S21,2,,4
104,C12,V104,S25,5,,2
105,C1,V105,S20,2,,3
106,C27,V106,S8,2,,1
107,C15,V107,S37,2,,2
108,C22,V108,S25,2,,3
109,C2,V109,S40,6,,1
110,C2,V110,S47,2,,1
111,C30,V111,S33,3,,3
112,C40,V112,S11,5,,1
113,C36,V113,S16,6,,4
114,C29,V114,S43,3,,2
115,C11,V115,S32,3,,3
116,C17,V116,S33,3,,5
117,C37,V117,S12,1,,3
118,C6,V118,S8,5,,1
119,C28,V119,S40,4,,4
120,C24,V120,S29,1,,5
121,C41,V121,S3,5,,5
122,C2,V122,S1,1,,5
123,C25,V123,S23,4,,3
124,C18,V124,S38,4,,4
125,C7,V125,S8,5,,2
126,C19,V126,S1,2,,5
127,C47,V127,S40,3,,4
128,C46,V128,S27,5,,3
129,C47,V129,S18,3,,3
130,C23,V130,S21,1,,4
131,C8,V131,S10,2,,3
132,C50,V132,S1,6,,4
133,C29,V133,S24,2,,3
134,C14,V134,S48,6,,4
135,C36,V135,S35,5,,2
136,C27,V136,S50,1,,3
137,C22,V137,S41,2,,1
138,C35,V138,S45,4,,5
139,C41,V139,S50,5,,1
140,C42,V140,S48,1,,5
141,C38,V141,S43,5,,3
142,C37,V142,S4,2,,1
143,C11,V143,S32,6,,4
144,C50,V144,S9,1,,1
145,C12,V145,S16,1,,5
146,C9,V146,S13,1,,5
147,C38,V147,S16,2,,3
148,C9,V148,S13,6,,1
149,C28,V149,S8,5,,4
150,C17,V150,S40,6,,2
151,C24,V151,S31,2,,2
152,C12,V152,S36,6,,5
153,C33,V153,S20,2,,4
154,C29,V154,S32,1,,5
155,C12,V155,S45,1,,1
156,C33,V156,S42,2,,2
157,C4,V157,S45,1,,4
158,C27,V158,S6,1,,4
159,C14,V159,S7,5,,1
160,C6,V160,S19,5,,3
161,C30,V161,S24,4,,1
162,C47,V162,S36,3,,1
163,C29,V163,S37,2,,4
164,C22,V164,S11,4,,1
165,C49,V165,S31,6,,1
166,C17,V166,S33,2,,3
167,C11,V167,S6,1,,3
168,C21,V168,S2,5,,5
169,C7,V169,S21,3,,4
170,C4,V170,S26,6,,4
171,C45,V171,S38,6,,1
172,C27,V172,S16,6,,4
173,C5,V173,S6,1,,1
174,C46,V174,S19,4,,1
175,C19,V175,S12,3,,3
176,C40,V176,S47,4,,5
177,C11,V177,S5,6,,1
178,C42,V178,S27,1,,3
179,C41,V179,S5,4,,3
180,C17,V180,S26,6,,4
181,C32,V181,S2,4,,3
182,C8,V182,S40,3,,5
183,C25,V183,S18,1,,4
184,C12,V184,S19,2,,1
185,C44,V185,S23,6,,3
186,C32,V186,S27,5,,3
187,C36,V187,S21,2,,4
188,C39,V188,S43,2,,2
189,C16,V189,S16,5,,5
190,C6,V190,S20,1,,2
191,C20,V191,S40,2,,2
192,C9,V192,S13,2,,5
193,C20,V193,S2,3,,2
194,C30,V194,S33,5,,5
195,C18,V195,S46,3,,4
196,C26,V196,S32,6,,4
197,C3,V197,S1,3,,2
198,C13,V198,S38,4,,2
199,C12,V199,S35,1,,3
200,C48,V200,S14,3,,2
201,C15,V201,S27,1,,5
202,C11,V202,S11,4,,2
203,C37,V203,S47,6,,3
204,C28,V204,S8,3,,2
205,C36,V205,S21,4,,2
