name,available,cluster,wage,skill,lb,ub
K1,10,C1,0,"S1,S4,S2,S8,S9,S5,S7,S3",1,2
K2,10,C5,0,"S5,S6,S2,S4,S3,S10,S1,S9",1,4
K3,10,C4,0,"S6,S4,S8,S3,S10,S2,S5,S7",2,3
K4,10,C7,0,"S6,S3,S10,S2,S1,S8,S7,S9",1,5
K5,10,C5,0,"S10,S5,S3,S8,S9,S6,S2,S4",3,4
K6,10,C8,1021,"S9,S7,S2,S8,S4,S3,S10,S1",1,5
K7,10,C6,1003,"S4,S1,S6,S9,S10,S7,S3,S2",1,4
K8,10,C5,0,"S3,S7,S6,S2,S9,S8,S5,S1",3,4
K9,10,C10,0,"S8,S1,S10,S5,S4,S7,S9,S6",3,4
K10,10,C5,907,"S7,S8,S6,S4,S2,S3,S1,S5",2,3
K11,10,C9,1005,"S2,S8,S4,S7,S5,S6,S1,S3",1,5
K12,10,C8,0,"S4,S5,S6,S10,S1,S8,S2,S7",1,4
K13,10,C2,1090,"S8,S1,S6,S10,S4,S9,S3,S7",1,4
K14,10,C7,953,"S10,S8,S7,S5,S1,S9,S4,S3",1,2
K15,10,C10,0,"S4,S9,S1,S5,S3,S7,S2,S8",1,5
K16,10,C9,0,"S4,S1,S10,S2,S8,S9,S3,S6",3,4
K17,10,C3,0,"S10,S8,S6,S5,S1,S9,S2,S7",2,3
K18,10,C10,1084,"S10,S4,S9,S1,S3,S8,S6,S7",1,2
K19,10,C3,1071,"S6,S5,S7,S2,S10,S3,S8,S9",4,5
K20,10,C8,0,"S4,S9,S10,S7,S5,S2,S3,S1",4,5
