name,available,cluster,wage,skill,lb,ub
K1,10,C2,0,"S29,S27,S12,S28,S9,S14,S26,S3,S25,S8,S23,S30,S10,S1,S24,S19,S13,S15,S20,S7,S16,S6,S2,S5",1,5
K2,10,C15,1081,"S7,S19,S29,S15,S4,S12,S21,S3,S5,S25,S30,S11,S6,S18,S17,S9,S10,S1,S20,S14,S24,S27,S23,S26",1,5
K3,10,C3,910,"S20,S2,S8,S10,S28,S6,S7,S4,S21,S16,S29,S18,S26,S22,S19,S13,S30,S27,S1,S15,S17,S24,S5,S23",2,4
K4,10,C16,932,"S22,S11,S23,S17,S2,S3,S6,S16,S26,S21,S30,S4,S15,S19,S20,S29,S27,S8,S14,S9,S18,S5,S12,S1",3,4
K5,10,C8,0,"S27,S13,S2,S25,S17,S20,S14,S6,S16,S3,S12,S15,S8,S28,S9,S21,S4,S11,S23,S1,S19,S5,S30,S18",3,4
K6,10,C21,0,"S29,S25,S13,S12,S14,S7,S27,S8,S22,S19,S18,S6,S5,S28,S9,S10,S11,S26,S3,S30,S17,S1,S24,S4",2,4
K7,10,C3,952,"S30,S5,S18,S3,S28,S10,S2,S4,S6,S20,S11,S13,S22,S25,S1,S16,S17,S9,S26,S24,S21,S7,S12,S15",2,5
K8,10,C28,0,"S21,S8,S15,S4,S3,S22,S26,S17,S19,S28,S7,S11,S12,S14,S29,S25,S20,S27,S16,S1,S30,S9,S13,S2",1,5
K9,10,C19,0,"S13,S30,S16,S15,S5,S4,S29,S22,S17,S9,S19,S14,S3,S1,S24,S6,S7,S21,S23,S25,S8,S27,S10,S26",1,4
K10,10,C11,0,"S20,S29,S1,S4,S26,S22,S30,S24,S18,S16,S7,S17,S9,S25,S3,S6,S21,S13,S2,S28,S15,S10,S19,S14",3,4
K11,10,C25,1063,"S22,S19,S24,S27,S3,S6,S29,S23,S20,S4,S18,S7,S14,S1,S2,S11,S13,S30,S8,S9,S16,S5,S26,S28",1,3
K12,10,C15,1079,"S17,S9,S23,S30,S20,S6,S10,S25,S7,S13,S21,S1,S2,S27,S8,S14,S22,S26,S15,S29,S24,S3,S16,S5",1,5
K13,10,C7,1087,"S29,S19,S1,S9,S14,S10,S3,S11,S26,S13,S2,S24,S5,S23,S6,S28,S8,S15,S12,S4,S21,S20,S30,S16",2,4
K14,10,C11,971,"S24,S12,S2,S13,S15,S16,S20,S27,S4,S5,S6,S25,S22,S19,S9,S7,S18,S11,S29,S14,S28,S26,S17,S3",2,3
K15,10,C23,1023,"S5,S29,S28,S26,S7,S10,S25,S15,S16,S4,S19,S2,S23,S21,S3,S8,S6,S13,S22,S17,S30,S1,S18,S9",3,5
K16,10,C8,983,"S30,S6,S10,S23,S19,S5,S14,S2,S3,S21,S1,S27,S7,S15,S12,S26,S17,S18,S11,S16,S8,S24,S13,S22",1,2
K17,10,C2,0,"S6,S9,S29,S4,S28,S22,S12,S2,S30,S21,S19,S1,S23,S5,S16,S17,S26,S18,S7,S14,S11,S8,S13,S15",1,2
K18,10,C12,1056,"S7,S6,S24,S1,S5,S19,S8,S12,S23,S27,S15,S30,S21,S29,S14,S26,S4,S25,S22,S20,S17,S2,S18,S13",1,3
K19,10,C7,0,"S11,S6,S10,S22,S29,S12,S5,S2,S3,S4,S7,S21,S27,S9,S25,S23,S24,S30,S20,S15,S13,S16,S19,S17",2,3
K20,10,C14,0,"S20,S2,S1,S17,S27,S10,S13,S23,S22,S11,S29,S9,S12,S15,S14,S19,S3,S18,S30,S26,S7,S6,S4,S24",2,5
K21,10,C30,1035,"S15,S6,S20,S19,S3,S28,S5,S22,S17,S8,S1,S29,S4,S23,S7,S25,S21,S30,S18,S9,S13,S16,S26,S27",2,5
K22,10,C3,1069,"S22,S12,S8,S29,S4,S24,S9,S14,S6,S23,S26,S2,S10,S13,S17,S5,S11,S30,S7,S1,S28,S18,S25,S3",2,4
K23,10,C2,966,"S26,S6,S2,S30,S19,S4,S5,S24,S29,S3,S16,S27,S13,S21,S22,S23,S11,S1,S14,S9,S15,S10,S20,S25",3,5
K24,10,C13,913,"S17,S23,S28,S11,S24,S15,S7,S5,S27,S9,S10,S4,S25,S8,S30,S13,S29,S1,S6,S3,S19,S2,S22,S14",2,4
K25,10,C1,0,"S29,S3,S28,S2,S20,S1,S17,S15,S11,S23,S25,S6,S14,S4,S22,S10,S8,S19,S27,S24,S16,S5,S26,S18",2,5
K26,10,C18,1003,"S2,S4,S16,S7,S6,S3,S28,S15,S25,S13,S11,S12,S30,S22,S14,S17,S1,S9,S19,S26,S23,S5,S29,S18",1,3
K27,10,C29,0,"S24,S7,S16,S20,S25,S10,S11,S3,S1,S29,S21,S13,S19,S5,S26,S12,S17,S15,S28,S9,S22,S18,S6,S27",1,2
K28,10,C30,0,"S15,S22,S19,S18,S27,S9,S17,S8,S23,S13,S26,S21,S28,S16,S10,S7,S29,S12,S11,S5,S24,S30,S14,S2",3,5
K29,10,C18,1068,"S2,S19,S24,S8,S3,S10,S17,S13,S30,S7,S23,S25,S21,S11,S14,S5,S9,S27,S20,S18,S6,S4,S22,S26",3,5
