id,client,cluster,skill,demand,consultant,priority
1,1,ABQ,BP,2,,4
2,2,ABQ,DIP,1,,1
3,3,ABQ,F,5,,1
4,4,ABQ,H,2,,3
5,5,ABQ,O,1,,3
6,6,ABQ,SB,1,,1
7,7,ATL,BD,5,,1
8,8,ATL,BP,2,,4
9,9,ATL,D,2,,3
10,10,ATL,DIP,3,,3
11,11,ATL,F,3,,1
12,12,ATL,H,4,,5
13,13,ATL,I,3,,3
14,14,ATL,IF,1,,4
15,15,BOS,F,3,,5
16,16,BOS,H,2,,3
17,17,BWI,DIP,5,,1
18,18,BWI,E6,5,,5
19,19,BWI,F,4,,2
20,20,BWI,H,4,,4
21,21,BWI,R,2,,2
22,22,BZN,DS,1,,2
23,23,BZN,ESD,3,,3
24,24,BZN,ESV,4,,2
25,25,CLT,B,1,,2
26,26,CLT,BP,2,,4
27,27,CLT,D,4,,2
28,28,CLT,DIP,2,,1
29,29,CLT,DS,5,,2
30,30,CLT,F,4,,3
31,31,CLT,H,3,,4
32,32,CLT,I,3,,5
33,33,CLT,IF,1,,3
34,34,CMH,D,2,,3
35,35,CMH,DIP,3,,3
36,36,CMH,ESV,5,,3
37,37,CMH,F,5,,2
38,38,CMH,H,2,,4
39,39,DFW,D,1,,1
40,40,DFW,DIP,1,,4
41,41,DFW,DIP,5,,3
42,42,DFW,F,2,,1
43,43,DFW,H,4,,1
44,44,DTW,D,4,,1
45,45,DTW,ESV,1,,3
46,46,DTW,F,4,,4
47,47,DTW,H,3,,3
48,48,DTW,I,2,,4
49,49,DTW,I,4,,3
50,50,DTW,R,2,,2
51,51,EWN,D,1,,5
52,52,EWN,DS,2,,4
53,53,EWN,ESD,1,,1
54,54,EWN,ESV,2,,2
55,55,EWN,F,3,,4
56,56,GEG,D,3,,4
57,57,GEG,DIP,5,,4
58,58,GEG,ESV,5,,2
59,59,GEG,F,2,,3
60,60,IAH,BP,2,,1
61,61,IAH,D,3,,5
62,62,IAH,DIP,4,,1
63,63,IAH,F,4,,4
64,64,ICT,B,2,,2
65,65,ICT,D,2,,3
66,66,ICT,ESD,3,,5
67,67,ICT,H,4,,2
68,68,LAX,BP,2,,2
69,69,LAX,D,4,,2
70,70,LAX,DIP,3,,4
71,71,LAX,DS,1,,3
72,72,LAX,E,1,,3
73,73,LAX,ESD,2,,3
74,74,LAX,ESV,5,,1
75,75,LAX,F,5,,4
76,76,LAX,H,4,,2
77,77,LAX,I,2,,2
78,78,LAX,R,5,,2
79,79,LBB,IF,4,,2
80,80,MCI,B,5,,2
81,81,MCI,BD,2,,2
82,82,MCI,BP,5,,5
83,83,MCI,D,2,,3
84,84,MCI,DIP,2,,4
85,85,MCI,ESV,3,,1
86,86,MCI,ESV,1,,3
87,87,MCI,F,2,,3
88,88,MCI,IF,4,,5
89,89,MCI,O,2,,3
90,90,MCO,BD,2,,4
91,91,MCO,F,6,,5
92,92,MCO,F,5,,5
93,93,MCO,JIS,4,,2
94,94,MCO,SB,5,,2
95,95,MEM,DIP,1,,2
96,96,MEM,DIP,3,,4
97,97,MEM,F,3,,4
98,98,MEM,H,2,,2
99,99,MSP,BP,4,,4
100,100,MSP,E,2,,4
101,101,MSP,F,3,,1
102,102,MSP,H,2,,3
103,103,MSP,I,2,,4
104,104,MSP,JIS,1,,4
105,105,MSP,R,5,,5
106,106,MSY,BD,4,,4
107,107,MSY,BD,5,,4
108,108,MSY,D,4,,5
109,109,MSY,E6,2,,5
110,110,MSY,ESV,1,,1
111,111,MSY,F,2,,5
112,112,MSY,H,4,,1
113,113,MSY,I,3,,1
114,114,MSY,R,3,,5
115,115,ORD,BP,1,,1
116,116,ORD,D,3,,1
117,117,ORD,DIP,4,,3
118,118,ORD,F,2,,2
119,119,ORD,H,2,,2
120,120,PDX,B,5,,3
121,121,PDX,BP,1,,2
122,122,SAT,BP,3,,1
123,123,SAT,D,5,,3
124,124,SAT,DS,5,,3
125,125,SAT,ESV,1,,3
126,126,SAT,F,3,,5
127,127,SAT,F,3,,1
128,128,SAT,I,2,,2
129,129,SEA,D,2,,1
130,130,SEA,DIP,3,,5
131,131,SEA,F,2,,4
132,132,SEA,H,5,,2
133,133,SFO,BP,3,,5
134,134,SFO,D,3,,1
135,135,SFO,DIP,1,,4
136,136,SFO,E,2,,4
137,137,SFO,E6,1,,1
138,138,SFO,F,5,,2
139,139,SFO,IF,4,,4
140,140,SFO,O,2,,2
141,141,SLC,E,1,,4
142,142,SLC,ESV,4,,3
143,143,SLC,F,2,,4
144,144,SLC,I,2,,5
145,145,SLC,IF,2,,2
146,146,ATL,O,1,GP,4
147,147,BOS,E,3,Ma,1
148,148,BOS,BD,2,PH,4
149,149,BWI,R,4,RM,4
150,150,DTW,JIS,2,JL,5
151,151,ICT,E,1,ED,5
152,152,LAX,B,2,Am,3
153,153,LAX,BD,2,Bo,1
154,154,LAX,B,2,JV,1
155,155,LAX,R,4,MG,5
156,156,MSY,DS,2,DG,5
157,157,SFO,I,4,Am,1
158,158,SFO,B,1,CM,3
159,159,SLC,ESV,2,BC,2
160,160,SLC,R,2,BM,4
